"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	
435	226	515	692	2476	190	482	293	293	314	133	
463	227	550	695	2495	196	514	317	296	333	159	
0	0	0	0	0	0	0	0	0	0	0	
313	127	223	333	1047	55	205	150	169	196	80	
15	13	61	42	190	67	51	14	23	26	20	
135	87	266	320	1258	74	258	153	104	111	59	
15	13	61	42	190	67	51	14	23	26	20	
313	127	223	333	1047	55	205	150	169	196	80	
2	0	5	4	12	2	3	3	8	2	0	
326	140	279	371	1225	120	253	161	184	220	100	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

0	0	3	1	2	0	0	0	2	0	0	
20	20	32	44	141	9	11	9	9	21	3	
32	28	32	48	124	34	42	13	30	34	12	
273	91	209	273	943	73	198	139	143	160	85	
0	0	1	0	7	2	1	0	0	2	0	
0	1	2	3	6	0	0	0	0	0	0	
0	0	0	2	2	1	1	0	0	2	0	
1	0	0	0	0	1	0	0	0	1	0	
