"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	
2711	3067	2360	2432	1770	2327	1538	1925	2296	2171	2320	2520	1959	2954	2289	2790	1794	2861	2913	2618	2444	2281	
2640	2732	2460	2282	1725	2275	1434	1838	2153	1930	2266	2461	1893	2981	2769	2849	1687	2754	2823	2846	2030	2301	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2217	1881	2290	2169	1629	1181	1232	1796	2076	1764	2219	2448	1605	2839	2266	2680	1675	2700	2483	2615	1816	2279	
10	68	70	20	11	5	2	9	8	30	5	9	19	3	23	18	8	7	11	3	0	2	
413	783	100	93	85	1089	200	33	69	136	42	4	269	139	480	151	4	47	329	228	214	20	
10	68	70	20	11	5	2	9	8	30	5	9	19	3	23	18	8	7	11	3	0	2	
2217	1881	2290	2169	1629	1181	1232	1796	2076	1764	2219	2448	1605	2839	2266	2680	1675	2700	2473	2615	1816	2279	
5	18	0	6	0	13	5	7	8	17	0	0	0	12	1	26	5	4	10	0	0	0	
2222	1931	2360	2183	1640	1173	1229	1798	2076	1777	2224	2457	1624	2830	2288	2672	1678	2703	2474	2618	1816	2281	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	5	0	0	2	2	3	2	0	1	0	0	0	0	0	2	1	2	0	6	11	
178	407	384	154	85	207	161	205	142	224	86	125	136	87	147	131	233	229	196	262	200	101	
9	8	8	0	32	4	1	6	12	0	4	0	9	24	0	0	5	2	3	2	24	40	
2005	1472	1937	2022	1492	950	1058	1567	1910	1553	2117	2332	1464	2719	2140	2515	1427	2461	2260	2330	1564	2099	
14	17	10	1	31	5	2	11	0	0	9	0	10	0	0	0	4	5	8	0	20	3	
8	17	7	0	0	2	1	3	0	0	2	0	5	0	0	0	3	4	1	24	0	5	
2	3	3	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	10	
4	6	6	6	0	3	3	2	10	0	3	0	0	0	1	26	4	1	3	0	2	12	
