"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	"УИК №2123"	"УИК №2124"	"УИК №2125"	"УИК №2126"	"УИК №2127"	"УИК №2128"	"УИК №2129"	"УИК №2130"	"УИК №2131"	"УИК №2132"	"УИК №2133"	"УИК №2134"	
2040	1964	759	521	268	387	219	290	710	279	318	357	336	278	292	432	172	435	251	102	320	353	492	90	377	445	379	221	175	234	406	470	508	256	
2062	2045	787	533	275	416	230	323	725	285	334	364	367	283	295	448	166	462	279	115	314	349	506	88	403	467	412	240	174	226	418	477	517	261	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1057	898	357	261	130	214	140	188	274	166	226	197	148	102	191	190	113	221	104	38	125	167	223	55	140	170	230	137	89	151	190	177	132	117	
250	341	91	90	110	104	35	55	114	82	43	40	68	99	78	110	42	105	99	30	63	109	125	21	131	213	83	68	74	65	64	101	155	92	
755	806	339	182	35	98	55	80	337	37	65	127	151	82	26	148	11	136	76	47	126	73	158	12	132	84	99	35	11	10	164	199	230	52	
250	341	91	90	110	104	35	55	114	82	43	40	68	99	78	110	42	105	99	30	63	109	125	21	131	213	83	68	74	65	64	101	155	92	
1057	898	357	261	130	214	140	188	274	166	226	197	148	102	191	190	113	221	104	38	125	167	223	55	140	170	230	137	89	151	190	177	132	117	
13	13	3	3	0	1	2	6	5	0	1	1	0	1	0	5	0	1	0	0	0	0	4	0	2	0	0	0	0	0	1	1	0	3	
1294	1226	445	348	240	317	173	237	383	248	268	236	216	200	269	295	155	325	203	68	188	276	344	76	269	383	313	205	163	216	253	277	287	206	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	2	0	1	5	2	1	3	1	1	2	1	2	0	0	0	2	1	0	1	3	0	0	0	4	0	0	0	0	1	3	0	1	
90	129	47	40	17	20	7	9	28	10	30	13	25	13	5	22	11	12	16	14	48	7	21	2	32	31	34	27	3	11	46	24	21	23	
19	56	19	17	6	12	16	7	18	7	9	16	14	12	8	11	9	11	10	2	9	10	12	2	16	19	15	6	10	14	15	8	15	10	
1174	1024	366	287	212	276	147	219	328	228	226	203	175	169	251	256	134	296	173	52	129	247	307	72	218	329	257	172	146	189	189	240	250	170	
4	2	6	0	1	1	1	0	4	0	0	2	0	2	2	1	0	1	3	0	0	1	0	0	2	0	1	0	0	0	1	1	1	1	
2	5	2	2	1	2	0	0	1	0	0	0	0	2	0	1	0	3	0	0	1	8	4	0	0	0	3	0	4	2	0	0	0	0	
3	3	2	1	1	1	0	0	1	1	1	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	
0	2	1	1	1	0	0	1	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	
