"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	
2294	2044	1763	2570	
2287	2079	1722	2457	
0	0	0	0	
1464	1316	1454	1870	
27	25	123	27	
796	738	145	560	
27	25	123	27	
1464	1315	1454	1870	
23	25	18	27	
1468	1315	1559	1870	
0	0	0	0	
0	0	0	0	

8	6	5	3	
192	179	94	252	
116	106	147	145	
1117	989	1185	1407	
15	16	95	26	
6	10	10	14	
10	3	13	7	
4	6	10	16	
