"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	
182	1060	1906	1519	359	197	266	154	202	112	277	504	249	186	284	168	127	257	215	
181	1089	1940	1560	351	190	288	145	195	113	275	509	265	235	281	164	122	253	209	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
147	860	1248	1093	282	162	208	125	166	103	248	437	166	130	259	154	113	205	149	
29	49	43	32	50	20	39	15	16	5	14	33	59	40	18	8	9	36	60	
5	180	649	435	19	8	41	5	13	5	13	39	40	65	4	2	0	12	0	
29	49	43	32	50	20	39	15	16	5	14	33	59	40	18	8	9	36	60	
147	860	1248	1093	282	162	208	125	166	103	248	437	166	130	259	154	113	205	149	
0	2	18	7	0	0	0	3	0	0	0	0	0	0	0	0	0	1	3	
176	907	1273	1118	332	182	247	137	182	108	262	470	225	170	277	162	122	240	206	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	3	3	1	1	1	0	0	0	0	3	0	0	1	0	0	0	0	
7	50	266	174	8	3	11	5	3	6	16	19	16	22	2	4	1	7	0	
2	8	81	36	3	1	5	1	2	1	2	7	5	8	2	0	0	5	0	
167	843	898	888	317	176	229	131	175	100	244	438	199	139	272	158	117	226	206	
0	1	8	4	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	
0	2	11	7	1	0	1	0	2	0	0	0	3	0	0	0	4	1	0	
0	0	3	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
0	2	3	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
