"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	
1219	1032	1230	173	460	155	97	438	207	255	126	155	239	196	309	289	412	196	860	543	175	101	1114	907	1291	461	571	570	359	226	237	105	173	422	102	343	359	621	331	266	
1314	1086	1337	184	518	162	108	462	239	312	134	182	256	195	324	313	433	212	903	579	208	112	1180	955	1366	503	609	567	364	233	255	120	187	520	128	393	397	692	364	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
955	853	1025	158	407	139	89	377	178	228	109	133	206	179	252	234	368	179	742	483	146	80	968	835	956	431	537	460	303	177	208	95	145	377	88	306	325	564	280	226	
81	53	29	12	32	3	4	54	24	24	15	19	24	14	41	47	31	13	106	46	20	9	65	63	58	21	17	39	47	43	24	7	25	34	10	27	23	34	35	20	
278	180	283	14	79	20	15	31	37	60	10	30	26	2	31	32	34	20	55	50	42	23	147	57	352	51	55	68	14	13	23	18	17	109	30	60	49	94	49	54	
81	53	29	12	32	3	4	54	24	24	15	19	24	14	41	47	31	13	106	46	20	9	65	63	58	21	17	39	47	43	24	7	25	34	10	27	23	34	35	20	
955	853	1025	158	407	139	89	377	178	228	109	133	206	179	252	234	368	179	742	483	146	80	968	835	956	431	537	460	303	177	208	95	145	377	88	306	325	564	280	226	
15	20	17	2	9	0	0	14	4	5	3	0	5	1	3	0	8	2	7	9	2	0	11	5	12	3	9	2	2	5	3	3	7	11	0	6	5	2	20	2	
1021	886	1037	168	430	142	93	417	198	247	121	152	225	192	290	281	391	190	841	520	164	89	1022	893	1002	449	545	497	348	215	229	99	163	400	98	327	343	596	295	244	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	3	3	1	2	2	2	0	1	0	3	1	1	0	0	3	0	1	1	1	2	7	5	3	0	0	2	0	0	0	0	1	2	1	1	0	0	0	0	
163	155	150	19	80	8	3	43	7	7	3	9	23	20	22	3	59	15	69	21	8	6	153	113	184	31	92	47	24	25	18	11	16	54	16	37	22	51	23	19	
56	38	43	16	21	6	0	15	3	3	1	8	6	1	4	11	16	1	27	19	7	1	20	11	11	19	15	25	19	3	11	2	5	28	1	19	27	19	5	24	
778	661	808	122	318	122	88	352	188	235	115	127	192	168	261	263	307	172	734	471	148	79	821	752	780	396	415	414	298	185	198	83	136	305	79	266	292	519	260	196	
10	7	14	4	5	1	0	4	0	0	0	4	1	2	2	1	3	1	4	5	0	0	11	5	11	0	3	3	5	2	1	1	2	6	0	2	1	2	2	2	
4	3	9	4	2	1	0	0	0	0	1	0	2	0	0	3	1	1	4	3	0	0	5	5	4	0	7	3	1	0	1	0	1	2	1	2	1	3	5	1	
2	9	6	0	2	1	0	0	0	0	1	1	0	0	1	0	2	0	2	0	0	0	3	1	4	3	7	2	1	0	0	2	0	1	0	0	0	0	0	2	
2	5	4	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	5	0	6	1	0	0	0	0	2	2	0	0	0	2	0	0	
