"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	
980	1014	459	512	784	597	720	121	82	137	399	176	244	261	104	294	617	296	280	182	307	663	320	235	250	85	
974	1023	453	507	783	589	719	136	79	137	399	172	241	270	98	297	622	312	290	184	308	666	321	232	251	84	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
925	881	430	489	759	437	610	115	76	133	372	137	224	248	85	285	601	284	277	174	301	617	291	231	245	83	
47	32	20	14	18	20	13	1	3	0	14	6	8	5	3	7	7	9	0	6	0	21	20	0	0	0	
2	110	3	4	6	132	96	20	0	4	13	29	9	17	10	5	14	19	13	4	7	28	10	1	6	1	
47	32	20	14	18	20	13	1	3	0	14	6	8	5	3	7	7	9	0	6	0	21	20	0	0	0	
925	849	430	489	759	437	610	115	76	133	372	137	224	248	85	285	601	284	277	174	301	617	291	231	245	83	
0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
972	878	450	503	777	457	623	116	79	133	386	143	232	253	88	292	608	293	277	180	301	635	311	231	245	83	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	
15	47	3	6	2	13	33	8	0	0	4	17	10	1	9	8	6	2	3	2	7	15	7	1	2	1	
15	7	5	12	19	9	3	2	0	2	6	3	2	4	4	6	8	3	1	2	6	15	9	4	7	0	
940	819	440	479	756	433	587	106	79	131	372	120	220	244	74	278	588	288	273	175	288	605	295	226	236	79	
1	0	0	4	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	
0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	
1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	
