"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №2251"	"УИК №2258"	"УИК №2401"	"УИК №2408"	
1565	1944	1631	1475	1476	1676	1805	1540	2096	1130	2785	1873	1216	1590	1189	970	1217	848	1180	1257	2147	1946	1587	1522	2849	1315	1589	1628	2113	988	1890	1740	929	2203	2630	1639	1133	2122	1761	1277	2281	2624	369	858	258	561	2730	2467	157	
1400	1800	1500	1300	1363	1500	1600	1300	1800	1150	2450	1600	1000	1400	1050	850	1050	700	1000	1150	2100	1700	1400	1350	2400	1100	1250	1400	1900	850	1600	1600	750	2000	2300	1400	900	1800	1550	1100	1900	2200	500	900	300	600	2400	2000	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
962	1171	946	843	751	897	1106	930	1382	646	1650	1146	775	930	681	765	740	659	707	773	1614	1120	997	947	1732	811	979	1021	1294	618	1178	1210	580	1303	1570	921	607	1300	1024	896	1496	1604	85	619	0	518	1608	1480	80	
38	23	48	17	204	54	49	27	41	74	53	52	28	34	45	64	15	8	27	45	53	32	42	32	9	24	151	22	36	15	41	17	24	51	70	29	12	83	20	49	10	6	284	239	258	43	24	15	77	
400	606	506	440	408	549	445	343	377	430	747	402	197	435	324	21	295	33	266	332	433	548	361	371	659	265	120	357	569	217	381	373	146	646	660	450	281	417	506	155	394	590	131	42	42	39	768	505	93	
38	23	48	17	204	54	49	27	41	74	53	52	27	34	45	64	15	8	27	45	53	32	42	32	9	24	151	22	36	15	41	17	24	51	70	29	12	83	20	49	10	6	284	239	258	43	24	15	77	
962	1171	946	843	751	897	1106	930	1381	646	1650	1144	775	930	681	765	740	659	706	773	1614	1120	996	947	1730	811	979	1021	1293	618	1178	1210	580	1303	1570	921	607	1300	1024	896	1427	1604	85	619	0	518	1605	1480	80	
10	17	19	10	9	19	15	10	14	9	20	13	3	9	5	18	9	21	7	5	29	18	10	16	14	10	22	14	22	9	12	31	14	21	10	6	9	14	23	15	23	16	4	0	6	7	18	18	3	
990	1177	975	850	946	932	1140	947	1408	711	1683	1183	799	955	721	811	746	646	726	813	1638	1134	1028	963	1725	825	1108	1029	1307	624	1207	1196	590	1333	1630	944	610	1369	1021	930	1414	1594	365	858	252	554	1611	1477	154	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

21	16	16	10	7	14	14	11	19	5	17	19	8	15	11	4	9	4	5	6	14	12	4	8	12	8	6	14	15	5	16	12	8	15	23	8	5	10	12	6	15	10	6	3	0	5	17	5	4	
129	146	118	113	103	102	151	134	211	97	218	135	107	137	102	169	100	108	95	128	235	160	165	134	235	118	137	155	205	91	161	208	82	188	221	109	78	171	139	120	204	238	50	118	34	43	253	222	11	
52	71	64	48	60	61	76	41	53	36	85	62	40	56	24	38	51	27	36	25	64	61	53	45	86	26	60	54	65	24	46	53	30	77	81	55	25	61	58	91	69	52	24	58	24	30	69	93	9	
707	864	699	615	671	681	806	641	946	494	1170	848	546	669	491	521	542	419	506	551	1145	766	694	673	1233	577	777	681	860	447	863	751	416	904	1163	687	443	1015	720	667	989	1122	260	645	186	443	1137	1034	124	
28	29	31	25	45	24	29	52	74	35	79	47	36	23	41	34	25	37	34	50	75	45	45	38	68	31	36	50	72	21	38	87	21	55	70	29	24	45	37	18	64	73	9	14	4	11	63	56	1	
5	4	11	14	7	12	7	4	10	7	11	5	8	15	5	2	1	6	6	5	16	16	7	9	7	10	16	18	6	4	7	9	1	13	12	6	4	6	9	7	7	9	4	4	2	5	5	5	1	
17	17	9	9	19	18	19	24	30	14	28	26	11	11	11	19	8	11	14	12	40	14	20	21	40	21	28	25	26	12	17	33	10	26	31	22	10	16	18	6	23	52	3	6	1	11	38	19	1	
31	30	27	16	34	20	38	40	65	23	75	41	43	29	36	24	10	34	30	36	49	60	40	35	44	34	48	32	58	20	59	43	22	55	29	28	21	45	28	15	43	38	9	10	1	6	29	43	3	
