"УИК №2460"	"УИК №2461"	"УИК №2462"	"УИК №2463"	"УИК №2464"	"УИК №2465"	"УИК №2466"	"УИК №2467"	"УИК №2468"	"УИК №2469"	"УИК №2470"	"УИК №2471"	"УИК №2472"	"УИК №2473"	"УИК №2474"	"УИК №2475"	"УИК №2476"	"УИК №2477"	"УИК №2478"	"УИК №2479"	"УИК №2480"	"УИК №2481"	"УИК №2482"	"УИК №2483"	"УИК №2484"	"УИК №2485"	"УИК №2486"	"УИК №2487"	"УИК №2488"	"УИК №2489"	"УИК №2490"	"УИК №2491"	"УИК №2492"	"УИК №2493"	"УИК №2494"	"УИК №2495"	"УИК №2496"	"УИК №2497"	"УИК №2498"	"УИК №2499"	
572	535	205	434	607	221	437	551	416	395	389	452	442	230	352	213	890	365	504	266	304	264	1339	1371	1244	1364	1306	554	157	676	630	367	209	633	1243	1045	1113	1432	186	605	
576	540	211	437	606	224	440	556	420	397	390	455	445	230	355	217	885	368	508	270	308	268	1288	1328	1250	1370	1320	555	162	683	635	370	214	640	1247	1050	1115	1450	192	610	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
501	457	194	407	549	200	351	475	359	365	383	430	381	194	279	161	779	331	473	259	224	225	1253	1277	1172	1309	1263	529	139	532	608	343	189	526	1128	980	1032	1332	161	570	
68	73	8	25	53	20	83	72	54	26	4	6	57	33	70	46	96	34	28	5	78	39	35	51	37	13	13	20	16	144	14	19	16	102	31	15	13	42	25	32	
7	10	9	5	4	4	6	9	7	6	3	19	7	3	6	10	10	3	7	6	6	4	0	0	41	48	44	6	7	7	13	8	9	12	88	55	70	76	6	8	
68	73	8	25	53	20	83	72	54	26	4	6	57	33	70	46	96	34	28	5	78	39	35	51	37	13	10	20	16	144	14	19	16	102	31	15	13	42	25	32	
501	457	194	407	549	200	351	475	359	365	383	430	381	194	279	161	779	331	473	259	224	225	1253	1277	1172	1309	1263	529	139	532	608	343	189	526	1128	980	1032	1332	161	570	
0	0	0	0	0	5	0	0	0	6	0	0	1	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	
569	530	202	432	602	215	434	547	413	385	387	436	437	227	349	207	875	365	501	264	299	264	1283	1328	1209	1322	1273	549	155	676	622	362	205	628	1159	993	1045	1372	186	602	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	1	1	0	6	3	4	7	3	1	0	1	1	0	0	1	4	1	2	8	0	0	
9	17	2	7	12	5	5	13	15	12	6	7	12	7	13	11	10	6	3	10	7	2	31	25	36	38	33	10	3	14	19	4	3	2	36	31	59	47	4	8	
2	1	2	1	2	2	1	3	0	2	2	6	0	1	0	2	4	2	2	3	1	0	22	19	15	23	30	3	1	2	2	3	3	2	28	27	12	31	1	5	
554	504	196	420	586	207	423	528	393	369	379	412	420	218	336	194	861	354	495	247	288	262	1206	1258	1132	1237	1181	529	149	655	594	355	199	619	1067	911	961	1244	181	586	
1	2	0	1	2	0	2	2	5	1	0	5	5	1	0	0	0	1	1	2	1	0	6	8	6	5	9	2	0	1	2	0	0	1	7	10	7	13	0	0	
1	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	4	5	5	1	1	1	2	0	0	1	5	6	1	9	0	0	
0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	3	5	3	5	1	0	1	1	0	0	1	5	0	1	12	0	0	
1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	5	9	7	4	7	2	1	1	1	0	0	1	7	7	2	8	0	3	
