"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	
1737	2288	1619	2163	316	59	41	
1450	2010	1415	1860	307	59	44	
0	0	0	9	0	0	6	
965	1347	1021	1289	146	30	18	
30	59	45	45	6	5	0	
455	604	349	517	155	24	20	
30	59	45	54	6	5	6	
965	1347	1021	1289	146	30	18	
13	10	12	19	1	0	0	
982	1396	1054	1324	151	35	24	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

6	7	6	9	0	0	0	
77	125	98	128	8	3	0	
68	89	78	99	14	2	2	
793	1125	830	1048	122	30	19	
14	22	12	23	2	0	0	
7	11	11	5	2	0	1	
4	6	7	5	2	0	1	
13	11	12	7	1	0	1	
