"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	
2166	1021	1837	2429	1653	1208	2586	2311	2342	2557	2533	2602	
2000	950	1692	2226	1442	1013	2411	2109	2150	2348	2334	2400	
0	0	0	0	0	0	0	0	0	0	0	0	
1555	747	1252	1760	1060	715	1678	1813	1570	1873	1829	1790	
71	84	123	185	208	182	190	65	187	83	153	237	
374	119	317	281	174	116	543	231	393	392	352	373	
71	84	123	185	208	182	190	65	187	83	153	237	
1555	747	1250	1760	1056	714	1678	1813	1570	1873	1828	1790	
9	1	3	4	4	6	17	7	3	7	5	1	
1617	830	1370	1941	1260	890	1851	1871	1754	1949	1976	2026	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

5	0	2	2	9	2	11	2	6	6	11	7	
109	44	97	137	86	62	195	69	98	127	127	141	
61	66	103	99	93	67	111	151	124	146	130	147	
1434	714	1149	1685	1040	748	1508	1631	1503	1647	1660	1673	
2	2	9	3	8	5	6	5	6	8	10	15	
2	1	2	4	9	0	8	4	7	4	12	9	
1	1	3	5	8	4	6	1	6	4	18	13	
3	2	5	6	7	2	6	8	4	7	8	21	
