"УИК №2348"	"УИК №2349"	"УИК №2350"	"УИК №2351"	"УИК №2352"	"УИК №2353"	"УИК №2354"	"УИК №2355"	"УИК №2356"	"УИК №2357"	"УИК №2358"	"УИК №2359"	"УИК №2360"	"УИК №2361"	"УИК №2362"	"УИК №2363"	"УИК №2364"	"УИК №2365"	"УИК №2366"	"УИК №2367"	"УИК №2368"	"УИК №2369"	"УИК №2370"	"УИК №2371"	"УИК №2372"	"УИК №2373"	"УИК №2374"	"УИК №2375"	"УИК №2376"	"УИК №2377"	"УИК №2378"	"УИК №2379"	"УИК №2380"	"УИК №2381"	"УИК №2382"	"УИК №2383"	"УИК №2384"	
887	192	431	320	124	706	342	896	624	828	244	388	190	488	180	262	883	350	1370	1256	500	286	195	198	873	424	400	203	272	714	173	405	290	1493	1679	1616	630	
860	190	420	320	120	730	340	880	660	840	250	400	185	510	200	275	950	360	1478	1200	530	320	200	195	900	450	400	210	260	740	173	420	310	1500	1764	1500	620	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
815	136	358	228	89	549	265	723	542	652	189	295	157	409	140	241	517	239	1093	861	400	259	152	179	614	326	322	167	218	644	150	347	261	893	1078	977	396	
35	46	13	8	21	43	17	109	58	62	17	43	7	65	37	19	35	31	66	32	50	14	25	10	56	56	43	23	33	42	20	46	25	53	71	31	20	
10	8	49	84	10	138	58	48	60	126	44	62	21	36	23	15	398	90	319	307	80	47	23	6	230	68	35	20	9	54	3	27	24	554	615	492	204	
35	46	13	8	21	43	17	109	58	62	17	43	7	65	37	19	35	31	66	32	50	14	25	10	56	56	43	23	33	42	20	46	25	53	71	31	20	
815	136	358	228	89	549	265	723	542	652	189	295	157	409	140	241	517	239	1093	861	400	259	152	179	614	326	322	167	218	644	150	347	261	893	1078	977	396	
16	4	29	50	0	5	2	6	4	4	1	2	1	11	1	0	11	3	16	13	38	43	12	0	8	1	1	3	0	3	2	1	0	19	11	13	9	
834	178	342	186	110	587	280	826	596	710	205	336	163	463	176	260	541	267	1143	880	412	230	165	189	662	381	364	187	251	683	168	392	286	927	1138	995	407	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	3	1	3	2	2	2	4	7	2	6	2	3	1	1	4	4	6	7	4	1	0	0	2	4	1	0	0	0	0	1	0	5	7	2	2	
81	16	22	12	6	133	20	105	70	31	48	41	20	61	27	4	107	46	291	192	70	15	31	29	120	41	25	15	13	25	13	10	5	163	230	192	78	
52	10	25	8	5	32	8	54	46	28	6	11	9	14	2	2	45	19	59	53	21	5	8	9	21	15	24	3	9	5	2	4	2	74	58	57	29	
679	145	286	160	93	402	242	651	467	635	141	263	131	370	142	249	365	186	747	585	308	204	119	145	502	312	309	166	226	648	152	371	279	646	793	701	275	
3	2	1	4	1	6	2	3	3	1	2	3	0	6	1	1	4	3	10	10	5	0	3	2	7	4	2	2	0	2	0	4	0	12	19	11	7	
7	1	2	0	1	7	3	3	3	3	4	6	1	7	0	1	12	9	16	15	1	2	2	2	5	3	2	1	2	2	1	1	0	9	11	11	2	
3	1	2	1	1	3	2	4	3	3	0	5	0	1	1	1	4	0	8	9	2	3	1	1	3	0	1	0	1	1	0	0	0	4	6	9	4	
4	3	1	0	0	2	1	4	0	2	2	1	0	1	2	1	0	0	6	9	1	0	1	1	2	2	0	0	0	0	0	1	0	14	14	12	10	
