"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	
615	359	523	1868	1815	2210	542	415	159	388	480	108	204	228	246	1780	153	206	485	132	
630	340	530	1800	1780	2130	550	410	160	400	500	100	210	230	240	1750	160	230	490	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
479	273	377	1418	1140	1323	393	305	137	334	403	72	178	164	177	1373	118	158	356	94	
80	51	42	271	446	43	41	29	15	39	38	20	20	26	40	247	19	27	64	31	
71	16	111	111	194	764	116	76	8	27	59	8	12	40	23	130	23	45	70	5	
80	51	42	271	446	43	41	29	15	39	38	20	20	26	40	247	19	27	64	31	
479	273	377	1418	1140	1323	393	305	137	334	403	72	178	164	177	1373	118	158	356	94	
5	0	3	8	15	18	6	4	1	0	4	0	1	0	3	15	0	0	3	1	
554	324	416	1681	1571	1348	428	330	151	373	437	92	197	190	214	1605	137	185	417	124	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	0	4	5	19	16	5	0	0	0	4	0	1	1	4	34	3	4	0	0	
52	21	42	123	116	141	53	33	9	10	18	3	14	10	8	209	12	15	15	5	
20	8	16	42	50	41	30	26	15	19	15	5	9	10	9	64	2	13	30	8	
468	287	353	1489	1371	1127	321	267	127	336	398	82	173	166	192	1229	119	148	362	110	
3	5	0	12	2	8	3	1	0	2	1	0	0	0	0	6	0	1	2	1	
4	2	1	4	9	7	7	2	0	2	1	0	0	2	0	21	0	2	2	0	
1	0	0	3	3	6	6	0	0	2	0	2	0	1	1	32	0	1	4	0	
0	1	0	3	1	2	3	1	0	2	0	0	0	0	0	10	1	1	2	0	
