"УИК №2292"	"УИК №2293"	"УИК №2294"	"УИК №2295"	"УИК №2296"	"УИК №2297"	"УИК №2298"	"УИК №2299"	"УИК №2300"	"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №3743"	"УИК №3744"	"УИК №3745"	"УИК №3746"	"УИК №3747"	
2079	2059	1757	1226	2425	2025	1483	2189	2061	2672	2587	2175	2154	1247	2591	2217	2075	1681	654	1023	3127	3048	1785	213	142	209	343	285	
1400	1550	1300	900	1800	1500	1100	1550	1550	1950	1750	1400	1600	850	1950	1600	1550	1150	650	1080	2000	2150	1350	250	150	250	400	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1133	1102	939	736	1311	1134	832	1241	1003	1438	1480	1147	1210	667	1349	1268	1102	921	400	806	1773	1790	1183	196	132	190	289	273	
45	67	44	19	48	63	44	71	87	79	64	60	38	34	78	57	53	38	1	9	45	20	13	15	0	0	25	9	
222	381	317	145	441	303	224	238	460	433	206	192	352	149	523	275	395	191	249	265	182	340	154	39	18	60	86	18	
45	67	44	19	48	63	44	71	87	79	64	60	38	34	78	57	53	38	1	9	44	20	13	15	0	0	25	9	
1131	1102	938	736	1311	1133	831	1241	1002	1435	1475	1147	1210	667	1345	1268	1101	920	400	806	1770	1790	1182	195	132	190	289	273	
25	22	25	8	18	18	8	17	20	22	19	17	20	4	17	21	23	10	16	15	45	53	13	11	2	2	3	5	
1151	1147	957	747	1341	1178	867	1295	1069	1492	1520	1190	1228	697	1406	1304	1131	948	385	800	1769	1757	1182	199	130	188	311	277	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	13	8	10	14	16	13	8	13	9	6	18	13	3	17	22	13	9	0	2	22	18	14	5	0	0	1	0	
129	160	114	76	173	165	121	204	122	198	222	159	163	103	173	173	141	99	50	159	261	229	142	15	16	23	37	20	
43	60	37	32	50	43	37	62	38	55	40	45	35	28	42	56	45	26	13	27	57	56	44	9	5	9	18	18	
826	776	659	504	907	780	619	880	781	1046	1043	813	833	452	973	907	779	667	267	511	1207	1222	905	158	106	150	229	226	
71	54	49	62	91	73	30	66	46	77	92	71	89	58	94	67	57	56	29	63	94	104	29	2	2	2	15	9	
7	11	14	4	11	10	6	12	6	4	11	7	5	5	8	9	11	8	4	2	14	22	7	2	1	2	2	2	
22	23	32	26	30	34	9	18	17	28	31	27	26	11	35	26	22	26	11	17	42	40	23	2	0	0	3	2	
45	50	44	33	65	57	32	45	46	75	75	50	64	37	64	44	63	57	11	19	72	66	18	6	0	2	6	0	
