"УИК №706"	"УИК №707"	"УИК №708"	"УИК №3765"	
1523	1426	1142	994	
1450	1400	1050	950	
0	0	0	0	
908	939	716	593	
57	25	7	6	
485	436	327	351	
57	25	7	6	
908	938	716	593	
15	7	13	4	
950	956	710	595	
0	0	0	0	
0	0	0	0	

6	8	4	3	
84	148	105	89	
48	38	24	34	
755	695	527	440	
22	26	27	12	
8	11	3	1	
11	11	8	6	
16	19	12	10	
