"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	
2011	1955	404	336	319	250	308	225	426	426	313	551	302	297	
2000	2000	400	300	310	260	310	220	410	390	320	530	320	280	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1388	1128	186	194	234	174	168	134	256	252	193	348	162	117	
300	302	192	101	57	48	120	73	128	136	95	118	113	125	
312	570	22	5	19	38	22	13	26	2	32	64	45	38	
300	302	192	101	57	48	120	73	128	136	95	118	113	125	
1388	1128	186	194	234	174	168	134	256	252	193	348	162	117	
14	22	5	2	0	0	1	1	3	1	0	5	1	2	
1674	1408	373	293	291	222	287	206	381	387	288	461	274	240	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	14	1	0	6	0	1	1	1	3	4	4	2	0	
154	176	43	27	41	8	18	5	37	51	22	36	24	13	
126	83	25	20	32	10	27	14	23	27	18	31	17	16	
1347	1096	300	242	205	203	231	184	313	296	238	376	221	201	
12	20	2	1	3	1	4	1	2	1	0	2	4	4	
17	10	2	2	2	0	0	1	2	4	3	6	3	3	
6	6	0	0	2	0	2	0	2	4	1	5	2	0	
4	3	0	1	0	0	4	0	1	1	2	1	1	3	
