"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №1917"	"УИК №1929"	
93	82	886	759	53	209	247	359	229	55	94	63	671	293	
71	54	710	621	46	150	187	260	165	39	70	44	633	280	
3	0	0	30	0	0	24	0	0	0	0	0	0	0	
34	45	436	381	36	87	111	156	117	39	64	36	632	261	
0	0	12	17	0	15	2	7	4	0	0	0	0	0	
34	9	262	193	10	48	50	97	44	0	6	8	1	19	
3	0	12	47	0	15	26	7	4	0	0	0	0	0	
34	45	436	381	36	87	111	156	117	39	64	36	632	261	
0	2	6	5	0	0	1	0	4	0	1	0	9	3	
37	43	442	423	36	102	136	163	117	39	63	36	623	258	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	4	4	0	0	1	1	0	0	0	0	2	0	
9	0	31	42	1	8	10	40	7	1	2	4	155	49	
1	4	32	29	5	10	18	13	11	1	5	6	52	44	
26	39	368	340	30	82	103	105	91	36	55	26	385	155	
0	0	4	4	0	1	1	2	1	0	1	0	16	5	
0	0	0	3	0	0	1	2	0	1	0	0	6	0	
0	0	1	1	0	0	1	0	0	0	0	0	3	2	
1	0	2	0	0	1	1	0	7	0	0	0	4	3	
