"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	
183	632	287	533	440	311	548	760	474	147	430	671	318	1679	1252	1399	
210	730	350	630	550	350	650	800	490	150	490	720	380	1800	1500	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
137	469	222	412	338	284	413	450	357	136	310	486	259	1100	953	954	
11	59	7	44	39	12	63	53	26	0	31	41	16	143	40	64	
62	202	121	174	173	54	174	297	107	14	149	193	105	557	507	482	
11	59	7	44	39	12	63	53	26	0	31	41	16	143	40	64	
137	469	222	412	338	284	413	450	357	136	310	486	259	1100	953	954	
0	4	1	5	1	1	3	6	3	0	1	1	1	6	7	13	
148	524	228	451	376	295	473	497	380	136	340	526	274	1237	986	1005	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	0	1	0	1	2	1	0	0	2	1	7	2	7	
38	164	86	209	82	82	166	215	162	43	133	129	90	481	439	406	
3	5	6	1	2	2	4	1	1	0	6	8	2	16	7	7	
105	348	131	236	289	208	295	273	214	89	186	376	176	704	514	556	
0	4	3	3	1	2	3	6	2	2	8	6	2	14	15	17	
0	2	1	0	0	0	0	0	0	1	1	1	2	4	2	3	
0	1	1	0	1	0	3	0	0	1	2	2	1	7	3	6	
1	0	0	2	0	1	1	0	0	0	4	2	0	4	4	3	
