"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1217"	
1644	1709	1793	1818	1679	2040	1177	1459	1163	1605	1586	1506	1533	1541	1649	1309	1433	1029	1208	1566	1502	1664	496	166	
1600	1700	1800	1700	1600	1800	1100	1400	1100	1600	1600	1500	1500	1500	1600	1300	1400	1000	1200	1600	1500	1600	400	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
886	1005	1011	945	952	1236	600	792	586	1006	886	944	972	911	954	665	807	552	645	763	772	950	302	160	
26	26	30	27	21	25	24	23	16	21	37	16	10	29	12	28	14	10	20	34	17	34	6	0	
688	669	759	728	627	539	476	585	498	573	677	540	518	560	634	607	579	438	535	803	711	616	92	0	
26	26	30	27	21	25	24	23	16	21	37	16	10	29	12	28	14	10	20	34	17	34	6	0	
886	1005	1011	945	952	1236	600	792	586	1006	886	944	972	911	953	665	806	552	645	762	772	950	302	160	
6	9	15	10	6	26	2	13	0	9	14	8	6	2	18	5	4	6	11	8	9	3	2	2	
906	1022	1026	962	967	1235	622	802	602	1018	909	952	976	938	947	688	816	556	654	788	780	981	306	158	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	10	9	6	8	12	6	9	4	5	6	5	10	13	11	4	9	1	12	7	5	8	2	1	
148	121	166	154	149	158	79	101	89	133	123	136	164	135	117	106	121	83	101	121	105	152	38	20	
59	70	69	70	63	94	37	43	38	56	58	53	60	53	63	31	61	43	52	74	64	81	24	18	
656	770	738	697	704	918	479	620	449	788	693	731	718	685	731	529	597	409	453	555	586	702	233	116	
9	22	20	13	23	26	11	9	7	14	5	10	12	17	10	2	10	8	12	10	6	17	4	2	
9	12	11	13	8	10	5	12	5	12	12	5	5	18	7	8	9	2	9	10	1	10	3	1	
5	10	8	5	6	11	4	6	2	5	6	4	6	13	5	5	3	5	8	4	10	8	1	0	
7	7	5	4	6	6	1	2	8	5	6	8	1	4	3	3	6	5	7	7	3	3	1	0	
