"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	
1536	2163	1528	2158	1624	2150	2409	1828	2715	2609	1465	2868	81	645	495	321	
1590	2220	1580	2200	1660	2200	2470	1850	2730	2680	1512	2880	150	650	510	320	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1271	1828	1244	1827	1413	1749	1976	1503	2192	2202	1249	2497	81	615	473	284	
24	43	56	38	15	29	75	46	53	147	27	15	0	13	13	31	
295	349	280	335	232	422	419	301	485	331	236	368	69	22	24	5	
23	43	56	38	15	29	75	46	53	147	27	15	0	13	13	31	
1271	1828	1244	1827	1413	1749	1976	1503	2192	2202	1249	2482	81	615	473	284	
0	0	0	4	0	0	0	23	0	0	1	0	0	0	0	0	
1294	1871	1300	1861	1428	1778	2051	1526	2245	2349	1275	2497	81	628	486	315	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	11	5	7	1	6	8	5	20	9	3	7	0	0	0	0	
142	209	169	234	184	160	187	169	195	226	153	277	1	33	39	12	
42	69	54	65	23	57	67	58	52	87	28	69	0	12	4	12	
1063	1560	1049	1522	1206	1477	1749	1212	1861	1996	1075	2077	80	553	436	287	
9	3	4	3	3	13	19	28	49	4	3	10	0	29	1	2	
10	5	5	7	6	14	12	18	28	16	5	30	0	1	6	2	
6	8	4	6	1	14	5	21	13	6	2	17	0	0	0	0	
18	6	10	17	4	37	4	15	27	5	6	10	0	0	0	0	
