"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	
332	1365	363	815	350	1168	1149	383	2038	1338	1287	1573	1382	1897	1622	183	270	915	1554	1305	1274	519	
350	1670	390	900	370	1440	1440	370	1950	1200	1550	1470	1300	1740	1700	270	300	1050	2120	1230	1300	530	
37	845	0	0	5	810	704	0	382	0	0	430	0	0	29	37	0	108	587	347	0	196	
259	478	326	673	312	345	415	353	1256	1065	961	914	1046	1466	1221	125	257	578	639	713	897	274	
16	17	4	22	11	6	12	13	20	12	16	8	18	13	37	1	8	9	27	17	43	13	
38	330	60	205	42	279	309	4	292	123	573	118	236	261	413	107	35	355	867	153	360	47	
53	862	4	22	16	816	716	13	402	12	16	438	18	13	66	38	8	117	614	364	43	209	
259	478	326	673	312	345	415	353	1256	1065	961	914	1046	1466	1220	125	257	578	639	712	897	274	
2	8	4	5	1	67	43	1	29	7	9	15	14	19	14	2	3	6	46	12	8	10	
310	1332	326	690	327	1094	1088	365	1629	1070	968	1337	1050	1460	1272	161	262	689	1207	1064	932	473	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	2	2	3	2	3	0	5	2	4	4	4	7	8	0	2	5	10	7	4	1	
12	71	43	101	14	68	101	39	233	140	139	166	140	182	183	22	23	123	226	171	153	74	
12	49	35	54	33	39	55	19	167	63	78	93	74	108	107	15	27	70	102	85	53	62	
283	1202	233	508	270	973	911	305	1171	840	711	1027	800	1125	928	123	204	469	840	775	696	321	
0	1	6	9	5	8	9	2	26	12	13	21	14	19	19	0	4	11	13	8	11	9	
1	4	2	8	1	2	4	0	6	3	8	10	3	3	5	0	1	3	4	8	6	1	
1	2	2	4	0	1	1	0	8	5	10	10	7	8	8	0	0	3	7	7	3	4	
0	2	3	4	1	1	4	0	13	5	5	6	8	8	14	1	1	5	5	3	6	1	
