"УИК №1987"	"УИК №1988"	"УИК №1989"	"УИК №1990"	"УИК №1991"	"УИК №1992"	"УИК №1993"	"УИК №1994"	"УИК №1995"	"УИК №1996"	"УИК №1997"	"УИК №1998"	"УИК №1999"	"УИК №2000"	"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2052"	"УИК №2256"	
1998	2087	1723	2163	2006	1388	2546	2359	2344	2544	2229	1564	2388	2003	1988	1928	2603	964	2485	1996	2150	2110	2086	1964	2351	2931	1839	2214	1755	1818	2703	2066	2403	2354	2680	1730	2640	2558	2329	1465	1250	1331	1710	2295	1912	1953	2041	2183	2112	1920	2559	2820	2049	1795	1590	2686	2118	1970	2333	2309	1358	2310	1994	2012	1262	2302	1557	
1900	2000	1600	2000	2000	1300	2500	2300	2300	2500	2200	1500	2400	1800	1800	1800	2500	950	2600	1900	2000	2000	2000	1900	2200	2600	1700	2200	1700	1700	2600	1900	2300	2300	2500	1700	2500	2500	2200	1400	1200	1200	1500	2000	1800	1900	1900	2000	2000	1800	2500	2600	2000	1700	1500	2500	2000	1900	2300	2200	1200	2200	1900	1900	1200	2300	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1202	1223	997	1399	1308	899	1659	1340	1502	1633	1311	869	1294	1118	1305	1213	1533	567	1450	1114	1277	1292	1183	1073	1331	1524	1130	1376	973	1060	1652	1237	1513	1448	1782	1130	1765	1571	1512	912	721	822	1205	1570	1219	1260	1274	1434	1299	1181	1624	1678	1309	1012	908	1662	1308	1212	1444	1433	848	1517	1141	1101	728	1566	897	
45	44	163	16	88	35	45	98	133	72	89	51	72	185	71	43	64	30	102	61	133	92	68	120	57	312	33	42	53	88	44	109	94	42	43	40	86	102	69	40	74	169	22	15	77	46	107	72	39	53	73	320	50	16	62	86	93	36	41	80	64	28	27	75	262	101	104	
653	733	440	585	604	366	796	862	665	795	800	580	1034	497	424	544	903	353	1048	725	590	616	749	707	812	764	537	782	674	552	904	554	693	810	675	530	649	827	619	448	405	209	273	415	504	594	519	494	662	566	803	602	641	672	530	752	599	652	815	687	288	655	732	724	210	633	499	
45	44	163	16	88	35	45	98	133	72	89	51	72	185	71	43	64	30	102	61	133	92	68	120	57	312	33	42	53	88	44	109	94	42	43	40	86	102	69	40	74	169	22	15	77	46	107	72	39	53	73	320	50	16	62	86	93	36	41	80	64	28	27	75	262	101	104	
1202	1223	997	1399	1308	899	1659	1340	1502	1633	1311	869	1294	1118	1305	1213	1533	567	1450	1113	1275	1292	1183	1071	1329	1522	1129	1375	973	1060	1652	1237	1498	1448	1782	1130	1765	1570	1511	909	721	822	1204	1569	1219	1260	1273	1434	1299	1179	1623	1678	1309	1012	906	1662	1308	1212	1444	1433	848	1517	1141	1101	728	1566	897	
10	23	18	12	18	12	24	15	22	21	20	8	15	22	17	11	30	9	16	15	24	17	22	17	15	19	15	13	13	15	18	16	23	14	31	11	14	28	27	7	14	3	12	22	12	20	22	21	16	8	31	25	14	5	7	13	9	21	20	12	8	20	10	10	9	19	12	
1237	1244	1142	1403	1378	922	1680	1423	1613	1684	1380	912	1351	1281	1359	1245	1567	588	1536	1159	1384	1367	1229	1174	1371	1815	1147	1404	1013	1133	1678	1330	1569	1476	1794	1159	1837	1644	1553	942	781	988	1214	1562	1284	1286	1358	1485	1322	1224	1665	1973	1345	1023	961	1735	1392	1227	1465	1501	904	1525	1158	1166	981	1648	989	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	12	9	8	14	5	26	17	13	10	12	6	18	13	8	12	16	8	21	5	13	9	10	11	12	11	9	11	9	7	13	12	10	18	16	12	10	19	12	7	2	8	13	14	16	10	14	16	10	5	19	22	12	8	6	6	11	7	11	9	16	7	3	6	1	12	13	
150	148	122	166	150	106	206	180	176	210	163	100	129	144	136	130	188	80	167	128	122	163	150	121	145	246	142	178	115	128	223	163	183	205	224	112	264	183	189	130	78	139	140	168	161	145	146	158	176	114	204	226	136	121	103	228	199	152	124	179	89	217	155	142	85	162	102	
104	74	75	100	83	65	124	120	110	116	99	73	86	111	95	71	107	41	93	71	77	79	92	84	112	128	83	98	69	71	105	72	72	87	108	69	121	89	103	73	59	57	62	125	102	70	88	110	85	99	92	124	81	71	84	114	95	84	112	110	68	113	100	96	70	98	87	
852	907	863	1049	1030	683	1229	1016	1228	1248	1018	689	1031	920	1016	943	1172	432	1158	897	1081	1025	908	873	1008	1312	840	1025	780	876	1216	1014	1190	1080	1329	892	1318	1228	1130	664	591	728	913	1174	942	969	1028	1097	976	934	1264	1490	1031	750	717	1268	1011	919	1136	1128	679	1105	849	876	789	1291	761	
37	33	26	36	49	27	40	28	32	29	31	13	30	43	33	28	36	6	24	28	38	30	24	35	36	43	27	33	14	21	45	34	41	27	44	24	48	31	44	24	15	20	42	26	16	44	26	43	21	21	31	37	30	28	14	40	25	27	23	31	23	26	17	17	15	33	9	
23	13	10	5	8	6	12	9	15	14	15	8	12	14	17	5	9	4	23	8	6	16	13	9	8	16	12	13	4	6	17	11	14	14	18	16	11	21	13	6	13	9	4	12	10	6	14	11	9	13	18	15	14	15	5	23	18	11	16	7	9	11	12	5	7	12	4	
16	25	15	15	14	10	12	20	17	16	14	7	15	8	18	23	17	6	17	9	16	19	8	11	25	27	10	17	6	12	23	9	26	16	20	14	20	17	27	19	7	16	20	18	11	17	14	21	18	10	14	26	15	15	11	22	15	9	14	15	6	18	10	8	9	13	4	
49	32	22	24	30	20	31	33	22	41	28	16	30	28	36	33	22	11	33	13	31	26	24	30	25	32	24	29	16	12	36	15	33	29	35	20	45	56	35	19	16	11	20	25	26	25	28	29	27	28	23	33	26	15	21	34	18	18	29	22	14	28	12	16	5	27	9	
