"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	
2068	2043	2288	1593	1379	1638	1349	1675	2529	2443	1830	2184	2172	1863	1713	1253	1514	1883	1904	2316	1909	1713	1546	1703	1599	1372	1713	1728	1549	1530	2013	2085	1792	2086	2166	2219	2665	2275	1725	1810	1934	2202	1984	2010	1596	2262	2093	1535	1484	1896	1956	1589	1486	1457	2158	2341	1457	1303	1991	1300	1788	1448	
1900	1900	2100	1500	1200	1500	1300	1600	2400	2400	1700	2000	2000	1700	1600	1200	1400	1800	1800	2100	1800	1600	1500	1600	1500	1300	1600	1600	1400	1400	1900	1900	1700	1900	2000	2000	2400	2000	1600	1700	1800	1900	1900	1800	1500	2100	2000	1400	1400	1800	1800	1500	1400	1400	2000	2000	1400	1300	1700	1200	1600	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1104	1266	1277	808	938	873	730	957	1495	1880	1270	1292	1478	1227	1016	650	816	1028	1067	1310	1180	891	917	934	813	741	955	884	783	818	1117	1220	965	1066	1100	1155	1440	1187	868	913	947	1099	1144	1050	926	935	898	767	662	866	921	722	610	552	1279	1379	856	934	982	785	930	852	
28	41	45	23	22	33	32	31	26	17	59	27	63	6	1	27	35	39	35	38	23	46	28	19	23	23	28	17	24	29	18	26	20	21	38	24	33	33	38	53	19	118	21	22	34	122	123	88	104	110	88	120	137	154	15	11	39	99	13	16	20	53	
768	593	778	669	240	594	538	612	879	503	371	681	459	467	583	523	549	733	698	752	597	663	555	647	664	536	617	699	593	553	765	654	715	813	862	821	927	780	694	734	834	683	735	728	540	1043	979	545	634	824	791	658	653	694	706	610	505	267	705	399	650	395	
28	41	45	23	22	33	32	31	26	17	59	27	63	6	1	27	35	39	35	38	23	46	28	19	23	23	28	17	24	29	18	26	20	21	38	24	33	33	38	53	19	118	21	22	34	122	123	88	104	110	88	120	137	154	15	11	39	99	13	16	20	53	
1104	1266	1277	807	938	873	730	957	1495	1880	1270	1292	1478	1227	1016	650	816	1028	1067	1310	1180	891	917	934	811	741	955	884	783	818	1117	1220	965	1066	1100	1155	1440	1187	868	913	947	1099	1144	1050	926	935	898	767	662	866	921	722	610	552	1279	1379	856	934	982	785	930	852	
10	8	19	10	7	5	9	10	10	21	10	11	16	14	15	6	4	11	13	10	23	9	14	4	12	11	10	9	4	5	14	7	10	12	12	7	12	13	6	14	6	7	10	8	7	3	5	8	6	12	8	7	11	1	11	13	9	7	18	10	6	13	
1122	1299	1303	820	953	901	753	978	1511	1876	1319	1308	1525	1219	1002	671	847	1056	1089	1338	1180	928	931	949	822	753	973	892	803	842	1121	1239	975	1075	1126	1172	1461	1207	900	952	960	1210	1155	1064	953	1054	1016	847	760	964	1001	835	736	705	1283	1377	886	1026	977	791	944	892	
