"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	
259	2121	869	350	68	517	169	1666	183	186	482	339	2338	261	373	870	846	745	584	458	452	647	541	976	303	386	1381	789	394	858	840	1299	1075	1083	1160	1072	1123	1039	1117	1063	1027	1145	1104	1090	1063	1168	1048	622	279	341	200	364	334	1233	440	
260	2200	930	340	60	550	160	1650	190	180	480	340	2397	250	370	870	1190	770	600	490	460	650	560	1000	300	350	1440	800	400	860	850	1300	1190	1080	1160	1080	1150	1070	1050	1070	1010	1020	1120	1100	1050	1140	1080	650	280	360	190	350	368	1290	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
148	975	411	145	43	281	87	834	79	77	224	175	1051	113	165	329	373	231	177	247	167	248	239	406	117	167	576	334	144	355	417	579	454	569	573	581	484	486	652	558	480	672	607	531	581	643	415	271	98	158	92	200	96	530	164	
17	45	37	33	7	20	8	62	7	4	13	26	37	12	11	29	18	34	9	30	33	16	28	31	13	45	54	23	22	23	35	92	7	16	17	8	15	19	16	5	23	30	24	6	15	17	11	31	6	13	3	10	18	49	10	
95	1180	482	162	10	249	65	754	104	99	243	139	1309	125	194	512	799	505	414	213	260	386	293	563	170	138	810	443	234	482	398	629	729	495	570	491	651	565	382	507	507	318	489	563	454	480	654	348	176	189	95	140	254	711	276	
17	45	37	33	7	20	8	62	7	4	13	26	37	12	11	29	18	34	9	30	33	16	28	31	13	45	54	23	22	23	35	92	7	16	17	8	15	19	16	5	23	30	24	6	15	17	11	31	6	13	3	10	18	49	10	
148	975	411	145	43	281	87	832	79	77	224	175	1051	113	165	329	373	231	177	247	167	248	239	406	117	167	576	334	144	355	417	579	454	569	573	579	484	486	652	558	480	672	607	531	581	643	415	271	98	158	92	200	96	530	164	
2	23	4	2	0	5	1	9	1	1	1	0	24	0	1	3	5	3	2	1	5	2	3	7	0	0	4	6	1	1	2	4	10	8	12	11	8	11	11	7	11	9	19	18	12	11	9	2	0	1	0	4	2	5	4	
163	997	444	176	50	296	94	885	85	80	236	201	1064	125	175	355	386	262	184	276	195	262	264	430	130	212	626	351	165	377	450	667	451	577	578	576	491	494	657	556	492	693	612	519	584	649	417	300	104	170	95	206	112	574	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	4	1	0	0	0	5	0	1	0	0	1	2	1	3	0	1	1	3	0	2	0	0	0	0	5	1	1	1	0	10	2	3	4	1	4	3	4	2	2	2	4	3	4	3	3	1	1	1	0	1	1	2	2	
3	115	63	10	5	29	8	126	3	8	26	13	231	19	15	54	23	39	2	30	31	7	22	42	23	18	141	65	8	48	39	119	66	119	103	138	75	113	141	114	91	122	118	110	127	94	88	50	9	21	9	43	6	73	14	
11	47	38	9	4	24	4	66	11	9	16	11	79	5	5	30	14	10	14	23	10	20	25	25	7	8	32	14	13	30	17	86	47	64	65	57	46	36	51	45	53	51	40	61	63	44	28	13	1	19	8	8	8	31	7	
146	817	331	155	41	238	81	674	71	62	194	176	741	97	152	266	341	209	165	220	153	231	217	356	100	186	442	265	143	296	389	438	324	382	399	373	356	332	452	387	335	500	436	336	380	490	289	234	93	129	77	153	97	461	143	
0	1	2	0	0	2	0	5	0	0	0	0	2	0	1	0	0	1	1	0	0	1	0	3	0	0	0	1	0	2	1	5	6	1	2	4	5	3	3	0	2	7	4	2	4	7	3	1	0	0	0	0	0	2	2	
1	6	2	0	0	3	1	4	0	0	0	1	3	2	0	2	6	1	0	0	0	1	0	2	0	0	3	2	0	0	0	4	2	1	2	0	1	1	3	2	4	6	6	3	2	5	3	1	0	0	0	0	0	1	0	
1	4	2	1	0	0	0	2	0	0	0	0	3	0	1	0	2	1	1	0	1	0	0	0	0	0	0	2	0	0	3	1	4	2	1	1	0	3	2	1	2	0	3	2	2	3	2	0	0	0	0	1	0	1	1	
1	4	2	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	1	4	0	5	2	2	4	3	1	5	3	5	1	2	2	3	1	0	0	0	1	0	0	3	1	
