"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	
2436	2891	2792	446	2277	2026	2214	2501	1719	2033	2082	1901	1591	2527	2348	1947	1775	1536	801	2170	2568	2925	2263	1602	1905	2043	1064	2066	1901	2257	1210	506	1293	1625	1076	2103	2235	2858	2381	2291	2018	1986	492	990	139	564	150	2201	
2200	2500	2500	400	2000	2000	2000	2200	1600	2000	2000	1800	1500	2500	2200	1800	1600	1400	700	2000	2500	2600	2000	1500	1700	2000	1000	2000	1700	2000	1000	400	1200	1500	1000	2000	2100	2600	2300	2100	2000	1900	400	900	150	600	150	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1344	1629	1578	345	1322	1237	1246	1418	1399	1218	1221	1049	924	1470	1335	1317	1057	867	389	1215	1582	1944	1387	819	1113	1440	783	1256	1246	1348	720	369	626	887	711	1304	1289	1706	1274	1367	1149	1146	300	664	139	564	150	1592	
43	47	36	3	46	42	46	54	53	57	82	66	45	31	38	28	33	27	20	50	59	27	32	21	28	24	12	23	16	76	16	6	42	37	45	43	45	47	42	37	19	55	44	15	0	0	0	13	
813	824	886	52	632	721	708	728	148	725	697	685	531	999	827	455	510	506	291	735	859	629	581	660	559	536	205	721	438	576	264	25	532	576	244	653	766	847	984	696	832	699	56	221	11	36	0	395	
43	47	36	3	46	42	46	54	53	57	82	66	45	31	38	28	33	27	20	50	59	27	32	21	28	24	12	23	16	76	16	6	42	37	45	43	45	47	42	37	19	55	44	15	0	0	0	13	
1344	1629	1578	345	1322	1236	1246	1418	1399	1218	1221	1049	924	1470	1335	1315	1057	867	386	1214	1581	1944	1387	819	1112	1440	783	1256	1246	1348	720	369	624	887	709	1304	1287	1704	1270	1367	1149	1144	300	664	139	564	150	1592	
32	12	0	7	10	21	20	27	11	13	0	5	14	21	14	2	27	13	6	37	24	38	27	26	17	22	6	27	6	16	21	7	5	0	10	22	27	7	13	4	14	12	0	13	0	7	0	44	
1355	1664	1614	341	1358	1257	1272	1445	1441	1262	1303	1110	955	1480	1359	1341	1063	881	400	1227	1616	1933	1392	814	1123	1442	789	1252	1256	1408	715	368	661	924	744	1325	1305	1744	1299	1400	1154	1187	344	666	139	557	150	1561	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	3	16	1	12	9	9	3	12	8	5	27	5	10	9	8	8	4	3	3	18	8	11	3	9	2	7	12	3	11	5	3	1	5	2	3	12	6	10	21	6	7	3	5	0	3	0	8	
256	60	61	22	198	190	54	62	120	131	65	121	127	206	140	70	165	95	49	203	292	319	207	132	186	231	19	203	107	232	136	39	54	116	100	184	257	277	214	152	130	108	46	96	11	11	7	380	
49	28	60	8	50	51	10	33	37	52	10	49	54	22	55	54	59	46	15	60	57	82	64	39	60	29	8	52	11	93	46	30	26	70	57	42	80	98	79	111	54	66	22	32	6	42	3	78	
965	1523	1405	297	1041	925	1170	1329	1185	994	1186	856	706	1183	1077	1140	753	681	315	854	1090	1394	1010	586	813	1081	732	887	1072	960	501	276	556	693	561	1064	914	1274	920	1035	900	929	259	510	122	461	138	995	
27	9	35	7	18	37	5	7	28	17	11	5	21	32	31	16	31	23	8	48	65	57	47	27	17	52	11	43	42	48	12	8	13	22	11	18	13	27	31	40	22	32	9	7	0	31	2	43	
18	23	9	4	8	15	5	3	9	13	11	32	14	9	14	18	10	2	1	9	23	9	9	11	12	9	2	8	2	12	9	5	2	5	4	2	9	17	10	18	11	16	2	5	0	4	0	12	
14	5	15	1	5	16	10	3	14	13	8	8	16	7	8	18	10	14	2	14	21	14	17	8	11	17	2	11	2	20	3	4	4	7	4	5	5	21	11	9	13	11	2	3	0	5	0	19	
22	13	13	1	26	14	9	5	36	34	7	12	12	11	25	17	27	16	7	36	50	50	27	8	15	21	8	36	17	32	3	3	5	6	5	7	15	24	24	14	18	18	1	8	0	0	0	26	
