"УИК №2002"	"УИК №2003"	"УИК №2005"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2017"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2053"	"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2080"	"УИК №2081"	
505	138	455	525	174	386	715	322	862	353	271	81	108	342	550	330	159	536	570	568	516	547	487	551	514	1151	910	279	490	764	640	979	311	401	399	545	389	371	590	194	582	166	273	268	799	374	248	99	56	
568	144	421	517	177	356	641	305	849	354	264	86	115	347	624	339	185	560	648	600	530	565	511	562	526	1168	919	253	501	814	694	1014	312	419	406	553	400	370	613	201	589	153	297	275	798	397	278	100	100	
0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
344	119	322	401	155	288	544	302	518	164	174	62	80	191	437	133	108	287	337	264	280	316	314	270	241	785	632	170	322	605	355	560	202	305	250	332	266	312	347	146	340	125	230	182	513	200	138	81	53	
19	7	17	13	7	4	6	0	22	24	9	4	9	13	16	57	16	57	47	24	29	22	39	45	64	61	36	8	15	47	12	53	8	10	13	16	4	57	42	10	43	8	9	1	112	7	10	17	0	
205	18	7	103	15	64	91	3	309	166	81	20	26	143	171	133	61	216	264	312	221	227	158	247	221	322	251	75	164	162	327	401	102	104	143	205	130	1	224	45	206	20	58	92	173	190	130	2	47	
19	7	92	13	7	4	6	0	22	24	9	4	9	13	16	73	16	57	47	24	29	22	39	45	64	61	36	8	15	47	12	53	8	10	13	16	4	57	42	10	43	8	9	1	112	7	10	17	0	
344	119	322	401	155	288	544	302	518	164	174	62	80	191	437	133	108	287	337	264	280	316	314	270	241	785	632	170	322	605	355	560	202	305	250	332	266	312	347	146	340	125	230	182	513	200	138	81	53	
5	2	7	5	0	6	9	1	18	2	1	2	1	2	8	2	3	6	11	4	6	6	1	18	8	24	11	3	8	6	21	7	6	8	6	16	4	10	8	2	12	0	0	4	4	1	3	1	0	
358	124	407	409	162	286	541	301	522	186	182	64	88	202	445	204	121	338	373	284	303	332	352	297	297	822	657	175	329	646	346	606	204	307	257	332	266	359	381	154	371	133	239	179	621	206	145	97	53	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	1	0	0	2	4	1	2	0	2	0	0	0	2	1	3	6	8	2	4	1	5	3	2	11	6	1	0	4	0	4	0	0	0	0	0	5	5	2	0	0	1	5	3	1	2	0	0	
43	3	60	31	3	30	85	29	54	17	16	5	9	24	62	35	6	66	87	69	74	87	67	71	73	197	146	45	79	107	78	124	45	55	69	73	42	36	32	20	42	17	24	37	79	33	13	14	12	
38	6	38	29	24	28	43	21	36	21	21	6	2	21	38	15	9	49	29	35	22	22	24	32	29	56	39	10	28	27	26	63	16	14	25	24	21	15	32	8	32	16	7	10	30	15	9	8	5	
271	115	299	346	132	218	386	240	409	145	142	53	74	152	317	145	103	207	231	167	192	215	247	181	184	526	437	113	210	488	232	389	129	232	161	224	195	279	309	121	292	96	203	119	499	151	120	71	35	
3	0	1	1	1	2	10	4	4	1	1	0	2	1	15	2	0	4	3	8	7	3	4	3	3	17	11	2	2	11	6	11	8	2	0	4	1	10	1	0	2	2	2	3	2	4	1	2	1	
0	0	4	1	1	1	5	3	5	1	0	0	0	2	4	3	0	3	4	1	4	0	1	2	4	0	9	3	4	2	2	4	4	4	1	2	6	4	0	2	3	0	1	1	5	0	0	0	0	
0	0	2	0	0	1	2	1	7	1	0	0	1	2	4	3	0	2	5	2	0	2	2	1	0	7	4	0	2	3	2	3	2	0	1	0	0	5	2	0	0	1	1	1	2	1	0	2	0	
1	0	2	1	1	4	6	2	5	0	0	0	0	0	3	0	0	1	6	0	0	2	2	4	2	8	5	1	4	4	0	8	0	0	0	5	1	5	0	1	0	1	0	3	1	1	0	0	0	
