"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №1771"	"УИК №1772"	"УИК №1773"	"УИК №1774"	"УИК №1775"	"УИК №1776"	"УИК №1777"	"УИК №1778"	"УИК №1779"	"УИК №1780"	"УИК №1781"	"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	"УИК №1786"	"УИК №1787"	"УИК №1788"	"УИК №1789"	"УИК №1790"	"УИК №1791"	"УИК №1792"	"УИК №1793"	"УИК №1794"	"УИК №1796"	"УИК №1797"	"УИК №1798"	"УИК №1799"	"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1803"	
1182	1137	1179	1127	1126	884	967	903	583	133	271	452	197	192	242	124	66	468	78	63	637	90	416	89	454	200	125	540	55	591	319	101	533	76	131	858	615	667	78	352	95	453	73	122	117	
1250	1150	1250	1150	1150	900	1000	950	600	130	290	475	200	180	250	130	65	500	80	70	650	90	500	100	470	200	125	570	60	600	350	100	560	80	130	880	630	700	80	350	100	480	75	130	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
598	575	602	609	657	489	501	462	286	62	148	219	104	117	148	50	48	232	59	48	321	48	217	62	241	96	70	268	32	276	200	58	279	46	60	492	321	326	38	222	29	214	49	71	52	
47	49	27	46	50	44	52	33	73	36	34	78	21	8	12	20	7	93	0	5	118	21	134	10	28	19	17	74	8	111	29	13	48	2	44	55	77	87	17	48	34	25	6	7	14	
605	526	621	495	443	367	447	455	241	32	108	178	75	55	90	60	10	175	21	17	211	21	149	28	201	85	38	228	20	213	121	29	233	32	26	333	232	287	25	80	37	241	20	52	54	
47	49	27	46	50	44	52	33	73	36	34	78	21	8	12	20	7	93	0	5	118	21	134	10	28	19	17	74	8	111	29	13	48	2	44	55	77	87	17	48	34	25	6	7	14	
598	575	602	609	657	489	501	462	286	62	148	219	104	117	148	50	48	232	59	48	321	48	217	62	241	96	70	268	32	276	200	58	279	46	60	492	321	326	38	222	29	214	49	71	52	
13	4	7	11	7	8	17	7	2	0	1	5	1	3	1	1	0	1	0	3	1	0	0	2	2	2	0	1	0	4	2	0	7	2	0	10	4	2	0	5	0	3	0	1	0	
632	620	622	644	700	525	536	488	357	98	181	292	124	122	159	69	55	324	59	50	438	69	351	70	267	113	87	341	40	383	227	71	320	46	104	537	394	411	55	265	63	236	55	77	66	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	5	4	7	3	6	9	2	1	2	4	0	1	0	0	1	5	1	2	2	0	2	1	2	1	1	4	0	5	5	1	6	0	0	1	3	10	0	4	0	1	0	1	0	
141	144	180	166	176	116	139	126	48	19	55	50	14	16	22	10	1	47	2	6	53	7	37	8	47	18	12	98	2	47	46	5	56	3	19	59	85	67	18	54	8	63	3	16	12	
38	25	48	39	34	44	44	38	29	7	17	17	18	12	9	2	6	22	2	3	41	9	36	7	19	4	10	34	4	28	18	3	26	3	15	46	35	43	8	27	3	10	2	8	2	
434	436	386	423	477	354	341	304	267	69	105	211	92	91	127	56	47	248	53	37	336	53	266	54	196	87	62	197	34	293	152	59	226	40	70	424	258	282	29	174	52	155	50	50	52	
7	3	0	3	2	3	2	8	4	1	1	3	0	0	1	0	0	0	0	1	2	0	6	0	2	1	0	3	0	2	2	1	2	0	0	2	8	6	0	2	0	2	0	1	0	
3	7	1	2	1	1	0	1	2	1	0	3	0	1	0	0	0	0	1	1	3	0	3	0	0	1	0	2	0	5	3	0	3	0	0	0	1	1	0	1	0	4	0	0	0	
1	1	1	2	2	2	1	0	2	0	0	4	0	1	0	1	0	1	0	0	0	0	1	0	1	0	2	0	0	2	1	1	1	0	0	4	1	1	0	2	0	0	0	1	0	
3	2	1	5	1	2	3	2	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	1	0	1	0	0	0	1	3	1	0	1	0	1	0	0	0	
