"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №1268"	
91	29	693	316	322	292	1073	1487	1016	349	1043	837	346	139	1530	1572	551	91	68	1193	857	150	280	118	46	92	525	383	36	167	80	943	
88	29	584	250	257	238	901	1241	817	245	854	637	278	118	1266	1285	445	71	54	990	877	115	334	89	48	77	494	391	44	165	86	958	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	
64	18	330	182	196	149	561	797	478	191	470	426	167	70	826	735	273	47	32	565	326	82	168	60	22	38	293	216	9	103	29	473	
0	0	66	27	13	16	18	26	25	9	27	60	16	4	31	15	20	7	2	53	36	0	10	5	2	4	28	15	0	3	0	0	
24	11	188	41	48	73	322	418	314	45	357	151	95	44	409	535	152	17	20	372	515	33	156	24	24	35	173	149	35	59	57	485	
0	0	66	27	13	16	18	26	25	9	27	60	16	4	31	15	20	7	2	53	36	0	10	5	2	4	28	26	0	3	0	0	
64	18	330	182	196	149	561	797	478	191	470	426	167	70	826	735	273	47	32	565	326	82	168	60	22	38	293	216	9	103	29	473	
0	0	3	3	2	0	8	9	5	3	4	7	2	2	12	10	5	0	0	11	5	0	4	0	0	0	4	1	0	0	0	5	
64	18	393	206	207	165	571	814	498	197	493	479	181	72	845	740	288	54	34	607	357	82	174	65	24	42	317	241	9	106	29	468	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	5	0	0	0	1	4	3	0	7	2	3	0	6	1	3	0	0	3	3	1	0	0	0	0	0	1	1	2	0	1	
5	2	37	6	23	32	95	134	88	43	93	79	38	9	150	141	40	7	1	111	69	7	15	1	1	7	37	33	0	10	0	141	
2	0	33	25	16	14	57	88	50	16	47	64	19	13	69	101	33	6	8	59	47	22	10	5	6	5	23	38	3	9	1	77	
57	15	314	170	163	118	404	557	339	134	337	326	120	49	606	472	204	40	25	418	228	48	146	58	17	28	248	166	5	80	27	224	
0	0	2	3	2	1	7	11	7	0	4	4	0	0	2	7	2	0	0	6	4	1	1	0	0	0	1	2	0	3	1	9	
0	0	1	1	2	0	5	7	4	2	1	3	1	0	2	8	3	0	0	2	2	0	2	0	0	2	2	0	0	1	0	6	
0	0	1	1	0	0	0	5	4	0	2	1	0	1	3	4	1	0	0	1	3	2	0	1	0	0	4	1	0	1	0	8	
0	0	0	0	1	0	2	8	3	2	2	0	0	0	7	6	2	1	0	7	1	1	0	0	0	0	2	0	0	0	0	2	
