"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	
984	822	874	725	482	123	369	268	903	308	127	864	236	387	497	203	352	352	809	253	834	768	293	649	608	
1060	861	947	766	490	130	381	280	944	322	132	898	242	400	507	209	365	364	848	254	870	788	308	669	620	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
450	601	530	573	402	121	243	188	771	252	106	712	183	322	406	173	289	245	688	188	728	641	238	462	457	
124	97	187	120	47	0	64	58	76	37	7	95	24	36	47	20	19	56	68	30	64	74	39	100	104	
486	163	230	73	41	9	74	34	97	33	19	91	35	42	54	16	57	63	92	36	78	73	31	107	59	
124	97	187	120	47	0	64	58	76	37	7	95	24	36	47	20	19	56	68	30	64	74	39	100	104	
450	601	530	573	402	121	243	188	771	252	106	712	183	322	406	173	289	245	688	188	728	641	238	462	457	
9	1	5	7	3	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	4	0	3	3	
565	697	712	686	446	121	307	246	847	289	112	801	207	358	453	193	308	301	756	217	792	711	277	559	558	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	3	4	1	3	5	1	0	4	1	2	0	2	3	1	1	0	4	1	1	1	1	0	1	
63	84	121	67	69	17	42	28	33	14	0	33	20	14	68	14	24	53	29	20	47	38	9	47	44	
26	39	43	32	22	12	32	5	28	8	4	16	6	7	12	10	19	9	19	14	40	20	11	14	20	
453	560	532	570	346	81	217	199	780	259	105	743	181	331	364	164	257	238	688	176	694	645	251	492	487	
11	6	8	6	2	2	2	8	4	2	0	4	0	1	0	2	2	1	2	1	2	3	2	5	2	
2	3	3	3	3	1	2	3	0	2	0	1	0	3	3	0	3	0	6	1	3	2	0	0	3	
1	1	1	4	3	3	4	1	0	0	0	2	0	0	0	2	1	0	3	3	2	2	0	0	0	
4	1	1	0	0	2	3	1	2	0	2	0	0	0	3	0	1	0	5	1	3	0	3	1	1	
