"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	
1039	1331	2486	2351	2341	2004	2200	1005	1554	1537	1433	2129	2530	2313	2255	1238	1690	2218	2550	2810	2429	2186	994	1851	930	1924	
1100	1350	2500	2300	2300	1950	2200	1050	1550	1500	1400	2150	2550	2250	2200	1200	1700	2100	2550	2750	2400	2200	1000	1850	950	1950	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
599	1216	1561	1507	1436	1305	1661	618	1339	1111	1194	1145	1463	1930	1315	705	1026	1524	1869	1961	1429	1368	890	1324	699	1631	
35	28	33	53	39	35	55	47	49	8	58	51	48	34	45	38	67	72	43	26	25	15	35	44	76	38	
466	106	906	740	825	610	484	385	162	381	148	954	1039	286	840	457	607	504	638	763	946	817	75	482	175	281	
35	28	33	53	39	35	55	47	49	8	58	51	48	34	45	38	67	72	43	26	25	15	35	44	76	38	
599	1216	1561	1507	1436	1305	1661	618	1339	1111	1194	1145	1463	1930	1315	705	1026	1524	1869	1961	1429	1368	890	1324	699	1631	
11	9	30	27	20	5	8	5	16	40	3	16	19	31	34	6	18	4	23	19	25	11	6	2	2	7	
623	1235	1564	1533	1455	1335	1708	660	1372	1079	1249	1180	1492	1933	1326	737	1075	1592	1889	1968	1429	1372	919	1366	773	1662	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	11	11	6	12	7	4	4	7	10	1	10	7	8	10	2	11	8	13	10	13	6	2	4	2	7	
126	138	239	232	230	77	316	113	181	159	156	175	267	175	220	106	171	218	267	228	233	195	12	260	128	166	
49	44	105	89	98	24	87	40	53	40	31	66	95	122	99	39	83	44	98	54	81	90	14	22	32	89	
419	1009	1141	1154	1048	1199	1271	488	1094	810	1054	882	1064	1589	944	562	777	1297	1457	1618	1046	1039	878	1049	601	1368	
8	17	28	22	24	11	19	6	10	30	2	18	19	10	16	6	11	13	18	15	20	15	4	6	1	8	
7	5	16	18	21	6	6	5	15	12	2	9	20	15	27	11	11	9	20	17	20	11	3	12	5	7	
6	4	13	7	10	5	2	3	7	5	1	15	7	8	6	4	6	0	10	16	8	7	4	7	1	9	
2	7	11	5	12	6	3	1	5	13	2	5	13	6	4	7	5	3	6	10	8	9	2	6	3	8	
