"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	
984	1337	971	579	594	688	1048	452	333	353	1427	202	372	216	732	599	735	585	279	391	239	785	504	133	582	222	560	204	439	377	160	599	227	203	268	152	316	1080	634	474	251	285	667	331	802	88	221	465	
970	1300	970	560	570	645	1065	435	320	350	1470	165	350	188	740	600	725	565	240	320	215	780	515	134	600	220	530	174	415	340	118	550	215	188	260	163	275	1075	640	420	245	285	675	310	765	79	215	440	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
536	810	529	284	315	294	541	308	142	144	713	77	198	105	314	275	343	275	144	219	94	433	269	57	332	119	261	88	237	156	89	256	104	81	134	32	102	597	291	246	155	168	334	156	368	51	92	178	
35	48	43	28	33	66	30	54	78	71	120	55	49	51	65	39	45	47	58	74	72	52	37	27	27	19	69	25	44	69	13	78	30	40	15	14	108	171	58	53	29	63	102	86	185	22	35	68	
399	442	398	248	222	284	494	73	100	135	637	33	103	32	361	286	337	243	38	27	49	295	209	50	241	82	200	61	134	115	16	216	81	67	111	117	65	307	291	121	61	54	239	68	212	6	88	194	
35	48	43	28	33	66	30	54	78	71	120	55	49	51	65	39	45	47	58	74	72	52	37	27	27	19	69	25	44	69	13	78	30	40	15	14	108	171	58	53	29	63	102	86	185	22	35	68	
536	810	529	284	315	294	541	308	142	144	713	77	198	105	314	275	343	275	144	219	94	433	269	57	332	119	261	88	237	156	89	256	104	81	134	32	102	597	291	246	155	168	334	156	368	51	92	178	
4	8	8	3	1	1	5	1	1	0	2	1	0	1	7	1	5	2	1	1	0	0	0	0	3	0	5	0	2	2	1	1	2	0	2	0	0	3	1	1	0	1	1	0	3	0	0	1	
567	850	564	309	347	359	566	361	219	215	831	131	247	155	372	313	383	320	201	292	166	485	306	84	356	138	325	113	279	223	101	333	132	121	147	46	210	765	348	298	184	230	435	242	550	73	127	245	
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	7	3	3	5	1	1	3	1	0	3	1	1	0	4	2	9	4	1	1	0	7	5	1	3	2	3	3	1	2	1	1	3	1	0	0	1	1	5	2	0	4	3	2	4	0	1	1	
71	117	62	37	49	43	86	9	26	17	86	14	28	4	37	44	64	41	28	26	19	74	44	7	61	21	29	16	40	28	11	30	25	10	6	3	21	75	42	15	19	25	42	24	50	2	10	32	
34	44	39	26	19	33	40	11	18	16	71	7	12	3	36	19	15	20	5	5	12	23	9	8	22	9	21	7	17	7	4	31	5	7	8	5	19	46	26	15	9	18	35	15	34	3	8	8	
448	662	449	229	267	273	431	332	167	177	661	102	200	147	284	246	293	252	165	259	129	369	244	65	255	105	265	83	217	185	84	266	89	102	131	37	166	621	265	261	151	176	341	195	450	64	102	198	
7	5	3	5	1	4	2	4	1	1	3	1	6	0	6	1	1	2	1	0	3	4	2	1	6	0	3	1	2	0	1	2	5	0	0	0	1	7	4	3	4	5	3	0	5	3	1	3	
2	5	2	3	0	2	1	0	2	3	0	4	0	0	4	1	1	1	0	0	2	5	1	1	8	0	2	1	0	0	0	1	0	0	1	1	0	5	2	0	0	0	6	5	4	0	3	0	
3	4	2	3	3	1	2	1	2	0	4	2	0	1	1	0	0	0	1	1	0	0	1	1	1	0	2	0	0	0	0	2	2	1	0	0	1	4	2	0	1	1	2	0	2	0	2	2	
0	6	4	3	3	2	3	1	2	1	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	2	2	1	0	0	3	0	1	0	1	6	2	2	0	1	3	1	1	1	0	1	
