"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №2076"	"УИК №2077"	"УИК №2078"	"УИК №2079"	"УИК №2080"	"УИК №2081"	"УИК №2082"	"УИК №2083"	"УИК №2084"	"УИК №2085"	"УИК №2086"	"УИК №2087"	"УИК №2088"	"УИК №2089"	"УИК №2090"	"УИК №2091"	"УИК №2092"	"УИК №2093"	"УИК №2094"	"УИК №2095"	"УИК №2096"	"УИК №2097"	"УИК №2098"	"УИК №2099"	"УИК №2100"	"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	"УИК №2123"	"УИК №2124"	"УИК №2125"	"УИК №2126"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	25	1	3	7	33	14	60	22	10	32	15	7	3	5	10	10	3	10	17	0	5	14	20	19	10	31	3	10	11	21	24	10	9	31	73	19	7	170	24	15	14	7	94	28	0	2	7	15	19	32	15	10	22	8	22	55	12	8	33	33	8	8	14	1	35	7	
108	98	98	55	89	85	109	52	126	19	41	289	68	217	98	100	107	128	30	37	151	42	88	267	17	77	106	132	88	345	40	87	213	204	89	17	80	96	37	82	90	75	81	98	90	30	137	242	80	95	76	121	209	63	28	22	86	134	52	93	99	102	208	236	121	75	54	
35	45	45	25	33	50	65	21	87	32	79	101	65	34	42	16	24	27	15	25	7	79	27	85	122	28	23	25	62	90	64	70	61	92	26	48	15	52	13	26	54	14	67	20	31	44	55	48	45	41	7	19	40	29	40	32	55	40	26	35	35	79	64	44	28	44	68	
1178	1492	1478	1474	1463	1249	1495	1475	1421	1626	1397	1419	1489	1120	1472	1709	1041	1273	1080	1064	1104	1384	1477	1230	1488	1124	1352	1405	1371	1138	1366	1359	929	1455	1550	1342	1751	1454	1227	891	1406	1176	1425	1515	1478	1482	1394	1142	1275	1494	1121	1152	1050	1262	787	832	1414	1310	2066	1307	1268	1175	1381	935	1366	1132	1348	
8	32	35	51	12	34	28	71	23	15	53	44	21	3	7	3	18	9	4	15	10	21	13	56	17	12	15	14	9	40	20	30	29	19	16	2	4	30	22	5	17	45	55	0	7	26	2	24	15	18	62	10	9	18	18	16	18	34	18	17	17	5	10	33	19	19	26	
138	235	185	184	208	115	172	134	135	204	144	29	187	171	106	206	22	184	203	146	104	199	206	19	190	144	157	196	182	17	110	123	19	25	116	174	120	205	166	117	162	156	152	236	186	56	178	113	159	105	111	181	42	162	46	106	165	142	96	148	165	157	14	15	190	118	173	
3	18	6	7	10	45	18	15	30	10	38	12	5	6	14	6	3	8	4	12	1	5	10	16	24	13	28	3	9	25	70	16	12	15	8	2	10	5	0	14	36	2	48	2	2	11	9	14	2	8	23	5	10	10	1	16	18	17	8	28	32	9	30	20	2	10	12	
46	19	1	43	13	35	12	16	18	11	25	14	10	3	10	4	7	5	4	7	2	12	9	17	31	15	22	3	8	20	39	28	12	17	21	2	14	9	0	14	20	20	19	2	3	15	2	16	1	14	6	10	8	37	2	21	18	7	15	14	19	39	25	14	1	19	15	
