"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	
60	188	178	132	714	229	391	114	110	235	2319	159	87	71	401	77	51	143	
59	179	181	124	721	219	392	106	112	236	2350	161	80	72	406	68	50	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43	96	121	71	401	163	276	55	77	124	1239	114	60	41	250	58	38	98	
3	32	9	31	24	5	41	35	13	62	173	15	10	8	37	7	0	3	
13	51	51	22	296	51	75	16	22	50	938	32	10	23	119	3	12	44	
3	32	9	31	24	5	41	35	13	62	173	15	10	8	37	7	0	3	
43	96	121	71	401	163	276	55	77	124	1239	114	60	41	250	58	38	98	
1	0	1	0	4	0	3	1	1	2	15	2	1	0	5	0	1	1	
45	128	129	102	421	168	314	89	89	184	1397	127	69	49	282	65	37	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	0	1	2	0	0	3	6	0	1	1	1	0	0	0	
2	7	18	3	7	9	12	0	3	5	153	11	4	1	16	3	1	8	
4	16	4	4	47	16	22	7	4	18	135	3	1	3	30	6	1	6	
38	98	104	95	352	137	274	81	79	154	1066	111	58	44	228	55	33	86	
0	3	0	0	7	1	3	0	1	2	15	0	0	0	3	1	1	0	
0	0	3	0	6	1	0	1	1	2	8	0	4	0	4	0	0	0	
0	3	0	0	1	3	0	0	1	0	4	2	1	0	0	0	1	0	
0	0	0	0	1	0	1	0	0	0	10	0	0	0	0	0	0	0	
