"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	
1598	1572	311	129	223	598	671	120	508	304	158	230	196	279	765	415	
1630	1633	331	141	245	634	732	126	532	322	170	259	180	290	787	438	
0	0	0	0	11	1	4	2	2	0	0	0	2	0	8	0	
819	796	159	68	121	302	351	78	236	202	74	130	124	179	367	200	
58	47	33	12	12	22	34	9	51	13	21	17	10	9	38	30	
753	790	139	61	101	309	343	37	243	107	75	112	44	102	374	208	
58	47	33	12	23	23	38	11	53	13	21	17	12	9	46	30	
819	796	159	68	121	302	351	78	236	202	74	130	124	179	367	200	
6	15	3	1	2	9	8	3	2	2	0	0	0	2	3	1	
871	828	189	79	142	316	381	86	287	213	95	147	136	186	410	229	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	2	0	0	6	2	0	0	0	0	0	0	2	3	1	
90	80	3	6	11	24	30	4	27	9	9	6	8	19	26	7	
66	88	17	8	9	60	24	16	18	13	8	18	13	17	35	19	
699	646	166	64	114	221	318	65	239	190	75	121	110	148	343	199	
5	5	0	1	3	1	3	1	2	1	2	2	3	0	1	3	
3	3	1	0	3	1	3	0	1	0	0	0	2	0	0	0	
2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	
3	5	0	0	2	1	1	0	0	0	1	0	0	0	1	0	
