"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	"УИК №1752"	"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1766"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №1771"	"УИК №1772"	"УИК №1773"	"УИК №1774"	"УИК №1775"	"УИК №1776"	"УИК №1777"	"УИК №1778"	"УИК №1779"	"УИК №1780"	"УИК №1781"	"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	"УИК №1786"	"УИК №1787"	"УИК №1788"	
1108	1204	2617	1243	1245	2376	2379	2055	2503	2018	2492	2200	1760	1699	1915	1399	1977	1886	2378	1896	1066	1874	1836	1881	1880	2118	2329	2257	2420	1497	2042	2258	1701	1853	2527	2051	2601	2366	2733	2638	2864	2098	1776	2270	1950	1951	1812	1372	2354	1793	2053	1636	2017	2180	2116	2380	1884	2011	1829	1997	1892	2044	291	
1000	1000	2000	1000	1000	2100	2100	1800	2000	2000	2100	2000	1600	1600	1600	1200	1700	1400	2100	1600	1000	1600	1700	1600	1600	1800	2200	2000	2200	1200	1600	2000	1500	1500	2000	2000	2500	2100	2200	2100	2400	1800	1600	1800	1500	1800	1500	1200	2100	1500	1700	1500	1600	2000	2000	2100	1600	2000	1500	1600	1500	1700	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
682	796	1711	890	857	1565	1457	1329	1498	1395	1611	1228	1209	1066	1173	850	1171	1163	1360	1094	690	1214	1201	1135	1103	1282	1409	1362	1486	870	1271	1418	987	1106	1748	1413	1599	1646	1426	1708	1638	1189	1153	1342	1146	1211	1199	863	1230	1064	1290	1022	1124	1389	1698	1470	1115	1322	1117	1139	919	1092	168	
39	13	8	26	54	16	27	24	21	13	14	22	17	7	15	18	17	8	27	14	16	44	14	16	11	10	12	19	7	4	14	7	10	24	132	107	93	4	29	24	27	28	18	17	36	12	3	18	11	29	24	9	23	22	22	14	25	28	16	12	11	20	46	
279	191	281	84	89	519	616	447	481	592	475	750	374	527	412	332	512	229	713	492	294	342	485	449	486	508	779	619	707	326	315	575	503	370	120	480	808	450	745	368	735	583	429	441	318	577	298	319	859	407	386	469	453	589	280	616	460	650	367	449	570	588	286	
39	13	8	26	54	16	27	24	21	13	14	22	17	7	15	18	17	8	27	14	16	44	14	16	11	10	12	19	7	4	14	7	10	24	132	107	93	4	29	24	27	28	18	17	36	12	3	18	11	29	24	9	23	22	22	14	25	28	16	12	11	20	46	
682	796	1711	853	843	1529	1453	1322	1498	1392	1611	1223	1192	1060	1171	849	1171	1162	1356	1088	690	1211	1192	1135	1097	1266	1406	1361	1486	869	1271	1413	987	1105	1748	1413	1599	1645	1426	1708	1629	1189	1153	1340	1143	1211	1199	861	1229	1064	1290	1022	1120	1384	1698	1466	1113	1320	1114	1138	917	1089	168	
9	9	20	14	13	20	16	19	26	12	15	13	19	16	9	21	16	16	27	14	4	12	14	10	22	15	21	21	71	9	17	24	17	12	24	15	23	20	9	28	18	10	21	20	17	16	20	12	15	20	16	12	15	13	17	15	9	19	12	15	15	7	1	
712	800	1699	865	884	1525	1464	1327	1493	1393	1610	1232	1190	1051	1177	846	1172	1154	1356	1088	702	1243	1192	1141	1086	1261	1397	1359	1422	864	1268	1396	980	1117	1856	1505	1669	1629	1446	1704	1638	1207	1150	1337	1162	1207	1182	867	1225	1073	1298	1019	1128	1393	1703	1465	1129	1329	1118	1135	913	1102	213	
