"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	
1143	1431	1345	1633	1793	1598	1758	1823	1506	1531	1881	1726	1703	993	1241	1518	1400	1668	1557	1569	1740	1428	1403	1382	1772	1493	1799	1697	1550	1796	1594	1550	667	827	1753	1801	1644	1503	1256	1222	1980	998	1666	1497	1941	2112	1033	1191	1268	1696	1540	2225	491	876	1316	1755	1365	2112	1644	1075	1181	1051	1628	1086	1637	1188	1817	1042	
1050	1350	1350	1650	1800	1600	1750	1800	1400	1500	1900	1750	1700	950	1250	1500	1400	1650	1550	1600	1750	1450	1350	1350	1650	1450	1600	1650	1550	1800	1600	1550	650	850	1750	1850	1600	1500	1250	1200	2000	1000	1600	1500	1950	2500	1000	1100	1250	1700	1600	2500	450	850	1200	1750	1350	2000	1650	1050	1200	1050	1600	1100	1600	1150	1800	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
800	1019	853	1033	1176	1060	1143	1227	935	916	1240	1139	1121	602	835	983	820	1163	998	1002	1166	937	906	879	1048	860	1016	1071	1134	1193	1013	980	461	548	1211	1308	1035	1050	836	836	1340	598	1108	972	1209	1372	716	676	846	1064	1003	1676	296	598	923	1172	923	1278	1170	692	750	634	1134	680	1020	745	1220	737	
60	82	62	66	83	90	74	89	134	76	89	57	73	55	38	67	58	67	71	80	80	47	61	72	90	124	260	139	20	95	94	94	48	33	62	82	45	53	58	72	60	49	69	59	82	128	17	128	36	46	61	58	30	61	67	105	46	111	41	76	24	47	60	49	68	62	45	33	
190	249	435	551	541	450	533	484	331	508	571	554	506	293	377	450	522	420	481	518	504	466	383	399	512	466	324	440	396	512	493	476	141	269	477	460	520	397	356	292	600	353	423	469	659	1000	267	296	368	590	536	766	124	191	210	473	381	611	439	282	426	369	406	371	512	343	535	230	
60	82	62	66	83	90	74	89	134	76	89	57	73	55	38	67	58	67	71	80	80	47	61	72	90	124	260	139	20	95	94	94	48	33	62	82	45	53	58	72	60	49	69	59	82	128	17	128	36	46	61	58	30	61	67	105	46	111	41	76	24	47	60	49	68	62	45	33	
800	1019	853	1033	1176	1060	1143	1227	935	916	1240	1135	1120	602	835	983	820	1163	998	1002	1066	937	906	876	1048	860	1014	1071	1134	1188	1012	980	461	548	1211	1308	1034	1050	836	836	1340	598	1108	972	1209	1370	716	676	843	1018	1003	1676	296	598	923	1171	923	1277	1170	692	750	634	1134	680	1020	744	1220	737	
7	14	6	20	12	19	22	17	12	7	19	13	14	10	12	8	12	15	13	8	22	8	12	12	16	14	9	21	8	12	9	17	4	7	18	5	15	14	13	12	17	3	11	14	0	12	9	4	9	13	20	19	4	2	7	14	5	20	9	5	8	12	21	10	18	6	12	13	
853	1087	909	1079	1247	1131	1195	1299	1057	985	1310	1179	1179	647	861	1042	866	1215	1056	1074	1124	976	955	936	1122	970	1265	1189	1146	1271	1097	1057	505	574	1255	1385	1064	1089	881	896	1383	644	1166	1017	1291	1486	724	800	870	1051	1044	1715	322	657	983	1262	964	1368	1202	763	766	669	1173	719	1070	800	1253	757	
