"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	
2692	1268	1631	1823	920	1907	1143	2582	1326	1729	1902	1041	1172	2754	2656	2642	
2700	1200	1600	1800	900	1900	1100	2600	1300	1700	1700	1000	1100	2800	2700	2600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1245	667	871	1076	494	951	581	1302	743	1014	1114	674	611	1529	1497	1180	
90	32	22	60	12	30	15	30	15	38	153	7	26	58	58	97	
1365	501	707	664	394	919	504	1268	542	648	433	319	463	1213	1145	1323	
90	32	22	60	12	30	15	30	15	38	153	7	26	58	58	97	
1245	667	871	1076	494	951	581	1302	743	1014	1114	674	611	1529	1497	1180	
14	5	6	8	7	10	6	16	10	3	10	9	6	22	20	9	
1321	694	887	1128	499	971	590	1316	748	1049	1257	672	631	1565	1535	1268	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	1	7	10	6	9	5	13	7	12	17	10	4	9	18	8	
316	162	182	245	104	234	142	313	165	234	268	195	149	363	342	241	
188	89	134	110	31	109	72	150	83	109	120	66	67	167	140	175	
762	416	532	724	339	582	343	780	467	650	807	373	388	965	984	796	
15	9	9	12	4	14	10	24	5	21	20	9	7	17	17	14	
7	2	7	7	8	7	6	15	9	3	3	9	7	11	10	12	
11	11	10	13	5	9	4	7	6	9	8	5	4	16	6	8	
12	4	6	7	2	7	8	14	6	11	14	5	5	17	18	14	
