"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №122"	
1218	1519	2692	2629	1437	2161	1863	1686	2426	1813	2812	2882	2382	2095	2031	2330	1516	1458	1747	1681	2105	1653	1610	1629	2014	3152	1482	1418	1377	1695	1243	1400	1851	1700	1843	1917	2461	1730	1533	1360	2169	1838	1383	2173	2081	1230	2051	2015	1619	1498	1102	1325	1551	1345	1609	1829	1328	1418	1432	1926	2227	
1170	1400	2600	2600	1400	2100	1800	1600	2400	1650	2800	2900	2400	2000	2000	2300	1400	1400	1700	1600	2100	1600	1600	1600	2000	3000	1400	1400	1300	1600	1200	1400	1800	1600	1800	1900	2400	1670	1500	1100	2100	1600	1300	2100	2000	1200	2000	1900	1500	1400	1080	1300	1470	1300	1350	1750	1200	1400	1400	1800	2200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
634	818	1545	1386	758	1121	876	1012	1190	996	1491	1741	1487	1324	1321	1346	927	968	1112	964	1263	975	1010	1007	1207	1983	955	859	830	1030	755	819	1102	1090	883	988	1518	919	728	838	1223	1138	797	1293	1299	682	1127	1246	962	806	620	776	918	800	943	1084	799	789	812	1149	1273	
25	51	45	27	37	16	20	16	19	28	30	20	22	14	20	35	23	9	13	15	18	23	15	16	23	19	9	12	11	11	15	15	12	14	37	55	26	11	20	20	21	25	16	24	23	17	15	29	41	42	16	21	19	21	22	21	34	57	36	76	24	
511	531	1010	1187	605	963	904	572	1191	626	1279	1139	891	662	659	919	450	423	575	621	819	602	575	577	770	998	436	529	459	559	430	566	686	496	880	857	856	740	752	242	856	437	487	779	678	501	858	625	497	552	444	503	533	479	385	645	367	554	552	575	903	
25	51	45	27	37	16	20	16	19	28	30	20	22	14	20	35	23	9	13	15	18	23	15	16	23	19	9	12	11	11	15	15	12	14	37	55	26	11	20	19	21	25	16	24	23	17	15	29	41	42	16	21	19	21	22	21	34	57	36	76	24	
634	818	1545	1386	758	1121	876	1012	1189	995	1490	1740	1487	1324	1321	1344	927	968	1112	964	1263	975	1010	1007	1207	1982	954	859	830	1030	755	819	1102	1088	881	988	1518	918	650	838	1222	1138	796	1293	1299	682	1127	1245	961	806	619	776	918	800	943	1084	799	789	812	1146	1273	
7	9	19	13	13	11	7	10	8	12	9	25	15	11	12	17	14	9	10	11	9	7	8	9	11	15	14	9	6	12	10	5	10	13	13	15	14	10	7	20	14	15	9	11	11	7	13	10	6	10	11	18	10	13	19	11	9	8	7	17	16	
652	860	1571	1400	782	1126	889	1018	1200	1011	1511	1735	1494	1327	1329	1362	936	968	1115	968	1272	991	1017	1014	1219	1986	949	862	835	1029	760	829	1104	1089	905	1028	1530	919	663	837	1229	1148	803	1306	1311	692	1129	1264	996	838	624	779	927	808	946	1094	824	838	841	1205	1281	
