"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	
544	725	588	660	900	963	1072	1058	807	1139	1292	286	355	267	1332	1295	735	1076	1134	1024	414	1416	1142	1528	827	532	813	522	474	496	510	544	462	248	570	579	726	132	201	347	740	579	116	127	965	1113	444	
540	700	600	690	900	980	1090	950	820	1190	1390	280	340	270	1330	1290	720	1060	1150	1050	400	1460	1100	1520	850	520	850	550	510	520	560	550	470	240	600	620	660	110	200	350	750	540	120	160	1000	1170	460	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
308	462	359	405	543	587	613	580	499	703	787	171	238	234	831	759	415	615	757	671	243	738	514	761	454	278	490	284	282	264	309	308	246	142	227	358	469	71	96	193	421	326	40	61	611	578	244	
20	25	20	19	16	30	28	111	28	35	30	22	18	7	30	60	36	57	30	16	20	127	125	135	83	64	41	49	46	60	23	38	27	19	133	33	15	14	67	38	55	58	26	22	39	92	32	
212	213	221	266	341	363	449	259	293	452	573	87	84	29	469	471	269	388	363	363	137	595	461	624	313	178	319	217	182	196	228	204	197	79	240	229	176	25	37	119	274	156	54	77	350	500	184	
20	25	20	19	16	30	28	111	28	35	30	22	18	7	30	60	36	57	30	16	20	127	125	135	83	64	41	49	46	60	23	38	27	19	133	33	15	14	67	38	55	58	26	22	39	92	32	
308	462	359	405	543	587	613	580	499	703	787	171	238	234	831	759	415	615	757	671	243	738	514	761	454	278	490	284	282	264	309	308	246	142	227	358	469	71	96	193	421	326	40	61	611	578	244	
2	10	3	6	0	0	16	7	6	7	10	0	6	3	12	6	3	11	5	13	2	10	7	10	6	1	4	2	4	0	5	3	5	1	2	3	9	0	1	0	4	1	3	1	11	10	3	
326	477	376	418	559	617	625	684	521	731	807	193	250	238	849	813	448	661	782	674	261	855	632	886	531	341	527	331	324	324	327	343	268	160	358	388	475	85	162	231	472	383	63	82	639	660	273	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	6	1	4	3	4	3	9	2	10	0	5	1	6	2	2	4	2	7	2	11	3	6	3	1	2	0	0	3	1	3	0	0	1	2	5	0	2	2	3	3	0	1	3	4	2	
60	74	84	64	97	106	99	102	83	129	161	30	28	11	119	121	54	105	148	113	56	127	108	141	67	75	84	46	57	38	70	76	58	23	60	92	70	7	9	27	67	44	6	3	184	140	51	
28	26	30	30	30	50	41	55	25	45	48	13	19	8	65	42	36	42	48	40	19	87	61	73	30	14	29	19	14	23	26	28	12	11	36	32	22	9	11	17	28	16	8	5	44	37	13	
226	367	246	311	411	440	453	514	387	535	569	145	187	215	637	627	351	494	565	500	177	606	449	640	428	249	396	259	246	254	221	234	196	125	256	258	365	62	134	182	363	312	48	71	401	469	202	
3	3	5	6	6	5	13	5	9	7	9	3	8	1	9	6	5	8	7	5	2	5	4	8	3	0	7	5	3	1	5	0	0	0	3	2	6	3	3	3	2	7	1	1	2	6	3	
2	1	2	2	8	8	2	1	6	6	4	2	3	2	6	6	0	2	6	4	4	12	2	8	0	1	4	0	1	2	2	1	1	1	0	1	2	1	1	0	5	1	0	1	2	2	0	
4	2	2	2	3	3	8	2	0	3	2	0	0	0	7	4	0	2	2	2	1	1	5	3	0	1	2	1	2	3	1	1	1	0	0	1	0	2	1	0	2	0	0	0	1	0	2	
1	2	1	2	0	2	5	2	2	4	4	0	0	0	0	5	0	4	4	3	0	6	0	7	0	0	3	1	1	0	1	0	0	0	2	0	5	1	1	0	2	0	0	0	2	2	0	
