"УИК №687"	"УИК №2140"	"УИК №2141"	"УИК №2142"	"УИК №2143"	"УИК №2144"	"УИК №2145"	"УИК №2146"	"УИК №2147"	"УИК №2148"	"УИК №2149"	"УИК №2150"	"УИК №2151"	"УИК №2152"	"УИК №2153"	"УИК №2154"	"УИК №2155"	"УИК №2156"	"УИК №2157"	"УИК №2158"	"УИК №2159"	"УИК №2160"	"УИК №2161"	"УИК №2162"	"УИК №2163"	"УИК №2164"	"УИК №2165"	"УИК №2166"	"УИК №2167"	"УИК №2168"	"УИК №2169"	"УИК №2170"	"УИК №2171"	"УИК №2172"	"УИК №2173"	"УИК №2174"	"УИК №2175"	"УИК №2176"	"УИК №2177"	"УИК №2178"	"УИК №2179"	"УИК №2180"	"УИК №2181"	"УИК №2182"	"УИК №2183"	"УИК №2184"	"УИК №2185"	
894	1850	1749	1419	1953	1896	1629	1620	1958	1934	1776	1707	2131	2110	2085	1902	2321	2321	1701	2199	2020	1931	2113	2222	2104	2081	1901	1878	2301	2532	2136	1757	2202	1671	2178	1648	1931	1668	1809	2146	1835	2065	1575	2074	1680	1730	2503	
800	1600	1600	1300	1700	1700	1500	1500	1800	1700	1600	1500	1900	1800	1900	1700	2100	2100	1500	2000	1700	1700	1900	2000	1900	1900	1700	1700	2100	2200	1900	1600	2000	1400	2000	1500	1700	1500	1600	1900	1700	1800	1400	1800	1500	1500	2300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
528	1186	1108	934	1011	1336	1076	1008	1183	1180	981	1150	1431	1345	1335	1158	1486	1359	1115	1338	1203	1262	1304	1340	1241	1257	1094	1129	1417	1582	1388	1196	1493	1063	1321	1075	1095	882	1241	1408	1209	1327	759	1241	1052	1014	1469	
8	21	46	35	26	27	15	26	28	24	21	11	15	10	29	18	18	38	35	40	172	27	40	37	60	31	29	17	37	41	42	31	31	20	44	32	36	24	23	25	35	30	34	29	38	22	25	
264	393	446	331	663	337	409	466	589	496	598	339	454	445	536	524	596	703	350	622	325	411	556	623	599	612	577	554	646	577	470	373	476	317	635	393	569	594	336	467	456	443	607	530	410	464	806	
8	21	46	35	26	27	15	26	28	24	21	11	15	10	29	18	18	38	35	40	172	27	40	37	60	31	29	17	37	41	42	31	31	20	44	32	36	24	23	25	35	30	34	29	38	22	25	
528	1186	1108	934	1011	1336	1076	1008	1183	1180	981	1150	1431	1345	1335	1158	1486	1359	1115	1338	1203	1262	1304	1340	1241	1257	1094	1129	1380	1582	1388	1196	1493	1063	1320	1075	1095	882	1241	1408	1209	1327	759	1241	1052	1014	1469	
10	21	21	18	14	22	21	12	23	15	17	13	25	28	25	19	20	31	23	20	23	16	24	31	12	21	15	17	30	24	16	16	21	22	19	15	23	23	15	20	22	21	21	22	14	17	22	
526	1186	1133	951	1023	1341	1070	1022	1188	1189	985	1148	1421	1327	1339	1157	1484	1366	1127	1358	1352	1273	1320	1346	1289	1267	1108	1129	1387	1599	1414	1211	1503	1061	1345	1092	1108	883	1249	1413	1222	1336	772	1248	1076	1019	1472	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	7	4	4	10	12	7	5	4	4	5	3	11	9	13	4	15	11	8	14	18	11	9	14	12	10	4	7	12	13	20	17	10	12	7	15	10	10	2	10	6	11	7	6	3	3	6	
68	157	150	125	113	154	119	107	126	133	99	124	181	140	158	141	167	178	105	154	141	126	142	103	141	142	141	153	170	200	154	134	160	135	142	106	123	133	115	147	125	141	89	130	110	106	185	
49	59	93	62	86	105	74	81	77	106	77	92	109	107	111	82	100	91	72	120	112	89	117	117	96	81	84	99	117	123	117	88	105	92	100	81	89	74	72	113	100	110	81	124	110	95	113	
398	907	839	710	781	1025	819	798	948	903	764	868	1064	1006	1013	885	1138	1029	899	1026	1021	1006	1002	1060	992	986	827	839	1055	1188	1067	931	1157	791	1040	854	855	643	1019	1085	948	1019	573	955	828	779	1108	
3	27	19	16	17	14	19	11	11	18	17	23	24	21	12	18	23	23	13	19	21	11	17	18	25	14	21	16	12	26	24	16	36	12	17	6	13	9	13	22	12	22	13	9	8	16	20	
5	4	8	10	5	8	5	4	12	5	6	13	8	18	7	10	5	11	9	5	10	8	7	11	3	10	11	1	5	13	5	8	9	6	8	9	7	4	11	16	6	13	3	9	9	6	11	
1	10	8	13	6	15	15	7	3	8	7	17	13	14	13	12	17	11	13	10	19	9	14	16	14	9	13	5	7	21	11	9	7	10	19	8	7	5	6	5	9	11	1	9	1	9	14	
0	15	12	11	5	8	12	9	7	12	10	8	11	12	12	5	19	12	8	10	10	13	12	7	6	15	7	9	9	15	16	8	19	3	12	13	4	5	11	15	16	9	5	6	7	5	15	
