"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	
2064	2515	3424	2805	2145	
2000	2500	3000	2700	2100	
0	0	0	0	0	
1379	1639	2355	1768	1381	
32	27	25	66	22	
589	834	620	866	697	
32	27	25	66	22	
1374	1639	2350	1768	1379	
20	27	26	23	28	
1386	1639	2349	1811	1373	
0	0	0	0	0	
0	0	0	0	0	

11	17	9	18	5	
226	306	447	372	209	
63	75	73	78	80	
1018	1130	1627	1234	1010	
26	37	102	42	21	
5	14	8	11	6	
9	20	29	21	15	
28	40	54	35	27	
