"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	
769	1245	1237	1674	751	236	525	267	633	505	299	310	381	748	189	
792	1348	1312	1832	823	250	542	272	674	531	310	327	359	798	217	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
646	983	948	721	642	202	468	255	318	470	284	249	318	624	173	
20	15	96	582	34	6	5	5	30	11	8	17	35	17	0	
126	350	268	529	147	42	69	12	326	50	18	61	6	157	44	
20	15	96	582	34	6	5	5	30	11	8	17	35	17	0	
646	983	948	721	642	202	468	255	318	470	284	249	318	624	173	
4	0	4	14	0	0	0	0	5	0	0	0	0	0	0	
662	998	1040	1289	676	208	473	260	343	481	292	266	353	641	173	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	0	2	0	2	1	0	0	0	0	0	0	0	0	
63	78	201	365	66	24	44	3	75	49	6	44	4	26	17	
9	4	5	13	2	0	3	1	0	0	1	0	0	2	0	
577	905	820	878	602	178	421	253	264	432	285	222	349	608	156	
5	4	8	15	4	1	0	1	2	0	0	0	0	1	0	
6	0	3	6	0	3	2	1	1	0	0	0	0	0	0	
0	0	2	3	1	0	1	0	0	0	0	0	0	4	0	
1	4	1	7	1	0	1	1	1	0	0	0	0	0	0	
