"УИК №3301"	"УИК №3302"	"УИК №3303"	"УИК №3304"	"УИК №3305"	"УИК №3306"	"УИК №3307"	"УИК №3308"	"УИК №3309"	"УИК №3310"	"УИК №3311"	"УИК №3312"	"УИК №3313"	"УИК №3314"	"УИК №3315"	"УИК №3316"	"УИК №3317"	"УИК №3318"	"УИК №3319"	"УИК №3320"	"УИК №3321"	"УИК №3322"	"УИК №3323"	"УИК №3324"	"УИК №3325"	"УИК №3326"	"УИК №3327"	"УИК №3328"	"УИК №3329"	"УИК №3330"	"УИК №3331"	"УИК №3332"	"УИК №3333"	"УИК №3334"	"УИК №3335"	"УИК №3336"	"УИК №3337"	"УИК №3338"	"УИК №3339"	"УИК №3340"	"УИК №3341"	"УИК №3342"	"УИК №3343"	"УИК №3344"	"УИК №3345"	"УИК №3346"	"УИК №3347"	"УИК №3348"	"УИК №3349"	"УИК №3350"	"УИК №3351"	"УИК №3352"	"УИК №3353"	"УИК №3354"	"УИК №3355"	"УИК №3356"	
1051	1475	1297	92	1627	1818	1365	1578	1491	1938	2152	2591	1488	1594	1458	2002	1504	1626	1190	1659	2127	1935	1249	181	2132	2284	1736	960	1276	1885	1670	2270	1985	1223	1440	2001	2332	1714	1507	1715	1728	1569	1498	1449	838	1337	1057	2086	1773	1891	2395	1692	1475	655	225	255	
900	1200	1200	93	1400	1500	1200	1400	1400	1500	1700	2655	1200	1530	1300	1700	1300	1300	1000	1400	1800	1600	1000	185	1600	1800	1700	800	1200	1400	1400	2000	1600	1000	1200	1600	2100	1600	1300	1300	1400	1200	1200	1200	800	1100	1000	1600	1400	1692	2000	1400	1400	660	230	255	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
667	851	778	40	965	1112	935	1006	1061	1139	1467	2194	870	945	968	1237	961	1003	693	1021	1418	1320	829	178	1295	1427	1130	583	956	1089	931	1142	918	656	939	1361	1553	1018	1080	1115	966	1042	1033	904	536	753	599	1169	1125	1356	1664	1010	985	608	187	228	
48	65	49	50	46	80	62	25	51	56	57	81	40	68	39	56	42	32	25	45	34	42	46	3	77	76	60	35	37	36	77	80	32	44	38	32	88	104	50	64	46	53	64	69	34	38	51	66	48	72	25	64	40	45	38	27	
185	284	373	3	389	308	203	369	288	305	176	380	290	517	293	407	297	265	282	334	348	238	125	4	228	297	510	182	207	275	392	778	650	300	223	207	459	478	170	121	388	105	103	227	230	309	350	365	227	264	311	326	375	7	5	0	
47	65	49	50	46	80	62	25	51	56	57	81	40	68	39	56	42	32	25	45	34	42	46	3	77	76	60	35	37	0	77	80	32	44	38	32	87	104	50	64	46	53	64	69	34	38	51	66	48	72	25	64	40	45	38	27	
667	851	778	40	965	1111	933	1006	1061	1137	1467	2194	870	943	968	1237	961	1003	693	1021	1418	1320	829	178	1295	1426	1127	583	956	1089	931	1141	918	656	939	1361	1552	1018	1080	1113	965	1042	1033	902	534	753	598	1169	1123	1356	1664	1010	985	608	187	228	
5	10	12	8	13	19	16	11	7	13	19	25	10	9	19	21	20	11	15	13	24	15	12	7	26	38	21	12	6	24	19	17	11	18	15	31	20	18	20	19	14	17	16	31	7	9	5	8	11	30	18	15	29	28	6	1	
709	906	815	82	998	1172	979	1020	1105	1180	1505	2250	900	1002	988	1272	983	1024	703	1053	1428	1347	863	174	1346	1464	1166	606	987	1065	989	1204	939	682	962	1362	1619	1104	1110	1158	997	1078	1081	940	561	782	644	1227	1160	1398	1671	1059	996	625	219	254	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
