"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №3439"	"УИК №3654"	
2525	2720	2956	2790	2527	1970	2782	2251	2825	2868	2481	2797	2909	2571	2669	2750	2936	2639	2795	2721	2760	1931	134	
1900	2200	2300	2300	2100	2000	2200	1800	2300	2200	2000	2300	2300	2100	2200	2300	2300	2200	2300	2300	2200	2050	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1461	1604	1650	1620	1341	1456	1691	1321	1643	1553	1373	1559	1634	1542	1539	1539	1439	1404	1516	1492	1555	1452	134	
74	49	80	57	94	65	47	61	67	65	70	50	80	59	66	75	84	103	81	52	55	10	0	
365	547	570	623	665	479	462	418	590	582	557	691	586	499	595	686	777	693	703	756	590	588	16	
74	49	80	57	74	65	47	61	67	65	70	50	80	59	64	75	84	103	81	52	55	10	0	
1453	1602	1641	1615	1339	1456	1687	1321	1637	1553	1373	1559	1634	1542	1539	1539	1439	1403	1516	1492	1552	1452	134	
33	30	21	28	20	22	22	25	23	18	19	28	29	23	25	11	14	13	12	14	18	19	3	
1494	1621	1700	1644	1393	1499	1712	1357	1681	1600	1424	1581	1685	1578	1578	1603	1509	1493	1585	1530	1589	1443	131	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	12	24	15	16	11	15	22	18	28	13	10	14	19	30	23	13	20	17	12	17	20	1	
176	195	197	211	179	175	218	181	183	181	152	184	190	201	187	206	157	178	151	199	189	219	17	
49	51	38	71	35	61	66	60	76	69	72	74	69	59	64	67	65	83	68	53	76	54	13	
1068	1085	1145	1101	933	1080	1192	941	1198	1131	1031	1144	1248	1123	1086	1122	1112	1049	1205	1069	1113	1035	90	
62	116	116	120	96	72	91	55	78	72	75	69	75	85	94	64	62	60	57	80	80	53	5	
16	14	7	14	9	14	11	14	13	11	7	7	17	11	15	16	9	16	12	14	15	15	2	
42	53	47	20	36	30	34	26	31	36	29	46	19	21	24	31	27	30	25	37	32	17	1	
68	95	126	92	89	56	85	58	84	72	45	47	53	59	78	74	64	57	50	66	67	30	2	
