"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	
2261	1585	1377	157	
2220	1565	1361	167	
606	541	223	42	
1539	942	1079	111	
54	61	49	2	
21	21	10	12	
660	602	272	44	
1539	942	1079	111	
0	0	6	0	
2199	1544	1345	155	
0	0	0	0	
0	0	0	0	

9	4	3	2	
23	18	14	2	
90	65	54	7	
2024	1428	1257	144	
21	13	6	0	
11	5	3	0	
9	5	4	0	
12	6	4	0	
