"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	
2250	1574	1680	2126	576	2550	2952	2192	2219	2440	2644	2740	2381	2280	3008	2498	2696	2150	1769	2539	2078	1650	2267	1975	1959	2535	2210	1348	1972	1360	2515	2414	2276	2628	2511	1814	1410	2226	2081	2260	1983	2116	1903	1844	1232	1534	1946	1288	931	1091	2329	1875	1518	2363	2011	1994	2009	2397	2400	1455	1996	1703	1638	450	2523	566	2364	1858	2898	
2200	1500	1500	2100	500	2200	2200	2300	2300	2100	2100	2200	2300	2000	2500	2200	2300	1900	1900	2200	1800	2100	1900	1800	1600	2200	1900	1300	1700	1100	1900	1900	1900	2200	2100	1400	1400	1800	1700	1800	1600	2000	1700	1500	1000	1500	1600	1000	700	1300	1700	1600	1500	2100	1800	1800	1800	2100	2200	1500	1800	1700	1500	420	2000	580	2200	1600	2450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1688	1080	1330	1584	487	1768	1900	1727	1715	1947	1722	1947	1670	1641	1865	1759	1598	1441	1201	1425	1205	1319	1462	1063	1137	1392	1231	1003	1379	905	1730	1563	1449	1770	1619	1167	1154	1386	1303	1512	1423	1387	1345	1211	672	1129	1137	800	542	990	1402	994	996	1456	1498	1154	1189	1593	1413	1045	1221	1047	1115	340	1495	566	1752	1073	2414	
77	112	101	11	9	11	12	23	18	8	31	35	26	31	281	53	55	39	42	44	37	70	55	79	268	48	49	22	33	57	57	44	30	17	20	46	24	25	9	58	34	49	53	11	15	27	53	16	23	71	43	28	122	27	30	96	52	77	32	39	25	23	140	78	37	0	33	26	7	
435	308	69	505	4	421	288	550	567	145	347	218	604	328	354	388	647	420	657	731	558	711	383	658	195	760	620	275	288	138	113	293	421	413	461	187	222	389	388	230	143	564	302	278	313	344	410	184	135	239	255	578	382	617	272	550	559	430	755	416	554	630	245	2	468	14	415	501	29	
77	112	101	11	9	11	12	23	18	8	31	35	26	31	281	53	55	39	42	44	37	70	55	79	268	48	49	22	33	57	57	44	30	17	20	46	24	25	9	58	34	49	53	11	15	27	53	16	23	71	43	28	122	27	30	96	52	77	32	39	25	23	140	78	37	0	33	26	7	
1688	1080	1330	1584	487	1768	1900	1727	1715	1947	1722	1947	1665	1641	1865	1759	1598	1441	1201	1425	1205	1319	1462	1063	1137	1392	1231	1000	1379	905	1730	1562	1449	1770	1619	1167	1154	1385	1302	1512	1423	1387	1345	1211	672	1129	1137	800	542	919	1402	994	996	1456	1498	1154	1188	1593	1413	1045	1221	1047	1115	340	1495	566	1752	1073	2414	
19	15	16	11	18	18	15	10	15	13	20	16	20	15	37	13	8	11	20	11	12	19	22	15	13	21	10	9	22	16	23	7	14	16	20	18	12	15	13	17	11	13	12	14	5	15	12	7	6	13	21	16	11	12	22	15	17	21	22	7	26	19	9	14	17	21	18	8	25	
1746	1177	1415	1584	478	1761	1897	1740	1718	1942	1733	1966	1671	1657	2109	1799	1645	1469	1223	1458	1230	1370	1495	1127	1392	1419	1270	1013	1390	946	1764	1599	1465	1771	1619	1195	1166	1395	1298	1553	1446	1423	1386	1208	682	1141	1178	809	559	977	1424	1006	1107	1471	1506	1235	1223	1649	1423	1077	1220	1051	1246	404	1515	545	1767	1091	2396	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	5	11	19	1	12	12	9	6	9	16	14	16	13	10	14	14	13	11	6	6	9	8	5	12	21	12	5	11	6	17	14	12	11	11	13	11	11	12	16	18	14	16	10	8	11	10	6	1	19	8	6	5	5	10	8	11	13	13	3	16	6	10	8	12	6	10	4	13	
273	174	213	263	33	280	252	276	244	304	222	239	230	216	307	223	180	186	134	206	196	206	204	164	188	147	152	127	176	132	220	237	195	240	232	165	119	191	198	215	188	199	167	238	114	160	159	125	90	122	196	139	146	189	216	175	183	221	200	147	141	150	149	23	195	43	301	144	364	
89	61	48	40	30	88	100	100	98	89	124	141	92	68	111	84	118	73	75	86	75	89	95	72	84	99	79	57	74	55	118	71	73	95	66	47	43	59	53	85	84	81	61	45	41	64	57	52	34	57	76	53	63	84	124	88	83	86	95	88	96	73	55	39	97	112	96	92	104	
1250	882	1016	1147	399	1301	1437	1281	1298	1448	1296	1482	1246	1278	1595	1390	1267	1124	933	1098	900	1005	1125	838	1048	1078	973	756	1072	698	1332	1179	1110	1338	1215	910	944	1058	970	1142	1047	1054	1074	823	480	837	891	570	402	724	1054	754	838	1133	1082	921	905	1258	1067	789	923	768	1002	319	1151	333	1289	813	1797	
60	27	58	50	6	26	48	44	27	37	33	33	30	37	31	28	31	34	20	29	28	16	31	22	21	29	24	30	22	30	32	37	31	35	43	25	24	29	33	39	37	39	24	45	17	35	35	26	12	20	47	25	21	31	42	12	22	22	16	25	15	23	9	8	18	36	29	20	68	
