"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	
1156	413	404	1480	1306	425	882	870	246	1715	1272	1403	1773	842	789	1320	195	787	795	519	443	179	260	931	992	1007	171	2136	1481	269	634	680	1783	1369	726	1537	1896	1314	1339	1771	2295	1829	1854	2221	107	
950	400	400	1200	1100	400	750	700	250	1400	1050	1150	1450	750	650	1100	200	650	700	500	400	172	250	800	800	850	169	1700	1200	250	550	600	1450	1100	576	1300	1600	1050	1100	1450	1850	1450	1500	1800	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
651	257	285	1046	873	294	640	645	171	1158	854	960	1179	569	578	1018	149	513	520	317	316	134	186	598	663	659	123	1262	949	184	383	520	1065	877	517	1056	1300	999	868	1014	1352	1105	1084	1382	56	
70	39	25	64	57	27	86	44	22	68	158	70	96	27	69	74	21	51	44	20	28	22	12	57	57	82	9	98	77	11	35	31	107	70	35	22	57	21	68	78	46	35	24	38	43	
229	104	90	90	170	79	24	11	57	174	38	120	175	154	3	8	30	86	136	163	56	16	52	145	80	109	37	340	174	55	132	49	278	153	24	222	243	30	164	358	452	310	392	380	101	
70	39	25	64	57	27	86	44	22	68	158	70	96	27	69	74	21	51	44	20	28	22	12	57	57	82	9	98	77	11	35	31	107	70	35	22	57	21	68	78	46	35	24	38	43	
651	257	285	1046	873	294	640	645	171	1158	854	960	1179	569	578	1018	149	513	520	317	316	134	186	598	663	659	123	1262	949	184	383	520	1065	877	517	1056	1300	999	868	1014	1352	1105	1084	1378	56	
10	4	2	10	10	2	20	6	1	14	7	19	26	6	1	6	0	6	8	1	0	0	0	10	5	6	0	16	12	0	4	9	23	7	5	9	17	12	8	20	11	13	15	24	2	
711	292	308	1100	920	319	706	683	192	1212	1005	1011	1249	590	646	1086	170	558	556	336	344	156	198	645	715	735	132	1344	1014	195	414	542	1149	940	547	1069	1340	1008	928	1072	1387	1127	1093	1392	97	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	2	2	0	1	3	0	1	0	2	1	0	0	1	0	1	2	0	0	0	0	1	3	1	0	1	1	1	0	2	2	0	1	0	0	2	3	4	2	4	1	5	1	
12	9	7	22	7	0	18	19	3	23	21	25	39	9	12	22	0	6	11	6	3	5	5	7	8	17	0	21	33	3	8	9	24	14	12	9	38	20	21	34	59	47	43	47	4	
9	4	1	13	16	6	9	17	3	20	14	16	14	10	2	7	0	5	26	6	9	2	5	7	20	10	1	14	32	1	4	12	15	19	8	7	22	13	19	17	33	27	32	28	2	
673	269	292	1026	871	311	660	616	185	1134	937	923	1139	553	618	1025	170	530	496	312	327	146	186	613	656	688	127	1281	935	188	393	511	1049	892	512	1047	1253	949	850	978	1257	1031	978	1286	87	
9	6	5	23	18	1	14	19	1	22	20	35	36	15	13	16	0	9	16	10	2	0	1	14	22	19	2	18	11	1	8	6	38	10	8	4	17	14	24	20	17	10	26	12	2	
2	0	2	2	4	1	1	3	0	2	6	0	4	1	1	2	0	0	2	0	2	1	0	0	1	0	0	0	0	0	0	1	3	2	1	1	1	3	1	4	4	1	5	2	0	
1	1	0	1	1	0	0	0	0	2	1	0	5	1	0	0	0	2	1	2	1	1	1	0	0	0	0	1	1	0	0	0	4	1	2	0	2	3	3	8	2	4	2	2	1	
4	3	0	11	1	0	3	6	0	8	6	10	11	1	0	13	0	5	2	0	0	1	0	3	5	0	2	8	1	1	1	1	14	2	3	1	7	4	7	7	13	3	6	10	0	
