"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	
1373	1208	762	210	175	82	95	181	90	475	319	207	183	203	85	107	493	112	89	210	603	125	134	245	337	69	89	219	159	
1400	1200	800	210	200	90	95	190	90	500	320	200	180	220	85	110	550	120	100	220	600	120	150	250	340	70	90	230	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
822	678	394	144	112	60	64	115	63	308	194	134	109	136	50	74	336	84	66	106	310	67	88	142	189	39	59	127	94	
101	77	64	6	11	0	9	9	5	25	23	16	22	18	3	9	38	3	5	29	62	0	6	10	47	4	10	29	19	
477	445	342	60	77	30	22	66	22	167	103	50	49	66	32	27	176	33	29	85	228	53	56	98	104	27	21	74	57	
101	77	64	6	11	0	9	9	5	25	23	16	22	18	3	9	38	3	5	29	62	0	6	10	47	4	10	29	19	
822	678	394	144	112	60	64	115	63	308	194	134	109	136	50	74	336	84	66	106	310	67	88	142	189	39	59	127	94	
8	11	3	2	2	0	1	2	0	6	0	0	0	0	0	2	3	0	0	0	3	1	1	0	1	1	0	3	0	
915	744	455	148	121	60	72	122	68	327	217	150	131	154	53	81	371	87	71	135	369	66	93	152	235	42	69	153	113	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	6	2	1	0	0	2	0	0	2	3	1	0	1	0	0	2	0	0	0	4	0	0	0	0	0	2	0	0	
159	151	91	11	30	13	10	21	7	31	29	14	20	11	4	9	56	14	13	8	82	10	8	23	55	8	8	27	17	
53	53	46	4	4	1	3	4	5	17	12	5	14	12	1	11	19	1	6	21	31	4	6	5	17	0	9	11	3	
662	505	306	130	86	43	47	95	55	268	167	125	92	128	47	59	288	72	49	103	245	52	75	114	158	34	49	111	88	
8	6	3	0	0	1	2	0	0	2	1	1	1	0	1	0	1	0	2	0	1	0	2	3	2	0	0	1	4	
14	12	1	2	1	1	8	2	0	4	4	1	4	2	0	1	4	0	1	3	4	0	1	4	0	0	1	3	1	
4	5	4	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	
4	6	2	0	0	1	0	0	1	3	0	2	0	0	0	0	1	0	0	0	2	0	0	1	2	0	0	0	0	
