"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	
403	179	552	179	830	398	1946	901	749	323	1853	515	259	384	219	275	258	429	141	268	134	145	
374	165	512	178	791	356	1803	815	679	302	1739	485	253	366	202	266	237	448	136	289	131	136	
0	0	0	0	0	3	0	0	0	0	22	15	3	0	0	0	0	0	0	0	0	0	
245	96	351	101	473	199	1273	543	449	187	1046	278	129	210	130	159	148	267	70	192	103	99	
35	4	17	10	28	71	88	45	20	13	42	42	25	15	9	13	10	35	3	16	6	10	
94	65	144	67	290	83	442	227	210	102	629	150	96	141	63	94	79	146	63	81	22	27	
35	4	17	10	28	74	88	45	20	13	64	57	28	15	9	13	10	35	3	16	6	10	
245	96	351	101	473	199	1273	543	449	187	1046	278	129	210	130	159	148	267	70	192	103	99	
3	0	3	1	14	5	22	4	10	5	3	1	3	1	1	0	0	1	0	1	2	7	
277	100	365	110	487	268	1339	584	459	195	1107	334	154	224	138	172	158	301	73	207	107	102	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	2	0	5	3	12	6	1	6	10	0	0	1	0	2	0	4	1	2	0	0	
14	9	23	23	68	29	121	64	62	27	103	23	10	11	6	2	8	37	4	7	8	0	
14	11	26	18	56	42	158	79	47	26	158	45	16	27	11	19	22	30	9	23	16	10	
244	77	304	67	341	188	1001	404	315	133	787	251	125	179	119	143	120	223	58	170	80	85	
1	0	6	0	6	3	20	13	17	2	20	5	0	3	1	3	5	3	0	2	2	3	
1	2	2	0	3	1	11	8	7	1	9	8	0	1	0	2	2	2	1	1	1	3	
1	0	0	0	3	2	8	6	3	0	16	1	1	1	0	1	1	2	0	1	0	1	
1	0	2	2	5	0	8	4	7	0	4	1	2	1	1	0	0	0	0	1	0	0	
