"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	
95	509	153	261	1251	86	173	2081	
125	810	220	415	1440	135	265	2380	
22	0	0	0	0	6	0	0	
67	411	146	251	845	80	168	1631	
6	28	4	10	90	0	5	97	
30	371	70	154	505	49	92	652	
28	28	4	10	90	6	5	97	
67	411	146	251	845	80	168	1631	
0	6	2	6	21	1	1	18	
95	433	148	255	914	85	172	1710	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

0	3	1	0	2	0	1	4	
2	26	6	4	51	1	2	120	
10	51	13	16	90	0	11	148	
80	337	125	230	741	83	155	1398	
2	10	1	2	9	0	0	16	
0	2	0	2	0	1	3	8	
1	2	0	1	11	0	0	5	
0	2	2	0	10	0	0	11	
