"УИК №3401"	"УИК №3402"	"УИК №3403"	"УИК №3404"	"УИК №3405"	"УИК №3406"	"УИК №3407"	"УИК №3408"	"УИК №3409"	"УИК №3410"	"УИК №3411"	"УИК №3412"	"УИК №3413"	"УИК №3414"	"УИК №3415"	"УИК №3416"	"УИК №3417"	"УИК №3418"	"УИК №3419"	"УИК №3420"	"УИК №3421"	"УИК №3422"	"УИК №3423"	"УИК №3424"	"УИК №3425"	"УИК №3432"	"УИК №3433"	"УИК №3466"	"УИК №3467"	"УИК №3468"	"УИК №3469"	"УИК №3470"	"УИК №3473"	"УИК №3474"	"УИК №3475"	"УИК №3476"	"УИК №3477"	"УИК №3478"	"УИК №3479"	"УИК №3480"	"УИК №3481"	"УИК №3482"	"УИК №3483"	"УИК №3484"	"УИК №3485"	"УИК №3486"	"УИК №3487"	
2622	2497	2544	2923	2466	1833	2786	1709	1841	2204	1360	2747	1662	1831	1784	1690	1237	1923	1371	1534	958	1887	1750	1536	1370	1131	1937	2399	2426	2085	2113	1911	2634	2460	2557	3135	1646	2214	1423	738	1279	2084	2073	1902	177	151	224	
2050	2050	2150	2300	1950	1650	2300	1250	1250	1750	1100	1900	1350	1450	1400	1250	1000	1550	1100	1150	850	1500	1500	1250	1050	1100	1450	2150	2150	1750	1750	1500	2100	2050	2100	2300	1350	1800	1100	750	1050	1900	1900	1700	200	200	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1663	1468	1637	1898	1446	1480	1611	1075	1121	1450	868	1694	1002	1122	1113	1085	762	1256	710	934	534	1225	1096	1026	879	926	1285	1484	1575	1190	1175	1145	1593	1502	1683	2001	981	1221	774	462	921	1478	1699	1514	152	151	217	
47	55	68	33	35	53	100	30	33	35	36	96	65	64	30	55	17	37	31	28	25	23	20	23	41	26	26	25	54	42	61	43	41	62	50	17	36	82	57	21	19	62	38	36	25	0	0	
340	527	445	369	469	117	589	145	96	265	196	110	283	264	257	110	221	257	359	188	291	252	384	201	130	148	139	641	521	518	514	312	466	486	367	282	333	497	269	267	110	360	163	150	23	49	33	
47	55	68	33	35	53	100	30	33	35	36	96	65	64	30	55	17	37	31	28	25	23	20	23	41	26	26	25	54	42	61	43	41	62	50	17	36	82	57	21	19	62	38	36	25	0	0	
1663	1468	1637	1886	1446	1480	1611	1074	1121	1450	868	1694	1002	1122	1113	1082	761	1256	710	934	533	1224	1096	1026	774	926	1283	1484	1575	1190	1175	1145	1593	1501	1680	1993	981	1221	774	462	921	1478	1696	1514	152	151	217	
22	23	28	24	26	29	19	33	12	8	13	22	15	23	10	16	12	13	6	19	9	17	8	14	12	28	28	31	17	13	0	23	25	19	21	36	14	15	14	9	6	29	27	24	2	0	5	
1688	1500	1677	1895	1455	1504	1692	1071	1142	1477	891	1768	1052	1163	1133	1121	766	1280	735	943	549	1230	1108	1035	803	924	1281	1478	1612	1219	1236	1165	1609	1544	1709	1974	1003	1288	817	474	934	1511	1707	1526	175	151	212	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	16	16	15	11	12	17	13	9	15	4	11	9	14	10	9	6	13	9	2	4	10	17	5	13	4	13	15	9	11	8	12	11	11	18	21	13	10	4	5	7	9	13	18	0	0	2	
155	143	163	198	159	163	165	115	175	126	104	175	98	136	134	133	79	145	82	99	51	115	103	99	83	103	113	128	165	90	99	112	151	148	188	216	102	161	87	40	102	137	165	145	20	7	20	
88	77	72	82	83	77	75	54	38	77	42	62	56	53	56	45	36	65	41	53	23	64	53	53	55	60	70	96	78	87	86	101	93	102	88	83	53	77	50	40	57	92	99	94	11	12	9	
1267	1135	1261	1323	1036	1081	1268	739	775	1081	630	1306	778	836	803	801	522	909	530	684	411	918	810	763	575	696	976	1147	1260	973	966	876	1268	1164	1292	1477	747	941	624	359	713	1199	1328	1204	135	119	165	
74	52	70	134	83	62	68	78	61	77	56	113	49	59	54	70	56	72	33	57	24	54	59	51	37	29	56	36	35	25	27	25	36	53	55	80	44	44	22	10	35	31	47	24	2	4	9	
15	14	16	15	10	40	17	11	9	16	7	15	11	11	18	6	9	10	12	10	2	13	7	5	10	7	15	14	22	9	14	12	8	9	10	12	14	10	1	3	6	12	17	13	1	1	2	
28	21	30	58	22	21	32	29	27	30	15	25	25	16	17	19	18	26	8	18	11	18	16	22	5	8	6	15	19	13	19	9	17	27	21	31	12	29	11	7	8	13	19	11	3	0	0	
43	42	49	70	51	48	50	32	48	55	33	61	26	38	41	38	40	40	20	20	23	38	43	37	25	17	32	27	24	11	17	18	25	30	37	54	18	16	18	10	6	18	19	17	3	8	5	
