"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	
1950	2269	1982	1899	2048	1849	1907	1922	1859	1829	1105	2117	1680	2116	2223	1769	1666	1823	1932	2437	1833	1848	1983	2325	2089	2502	2145	2513	1571	1713	1668	2122	2464	2490	2038	1964	1864	2014	2605	1799	1840	1910	2308	1859	2092	2210	2368	2240	2011	2329	2027	3001	1913	2067	2349	2322	2427	1857	2125	2198	2151	1749	2345	2783	1813	1931	2218	2501	2415	2780	2714	3241	1277	2544	3092	3062	2704	1834	
1600	2000	1600	1500	1600	1500	1500	1700	1700	1500	1000	2000	1500	1600	2000	1500	1500	1500	1600	2000	1500	1500	1600	2000	2000	2000	2000	2400	1300	1300	1500	1700	2000	2000	1600	1600	1500	1600	2000	1500	1500	1500	2000	1500	2100	2000	2000	2000	1700	2000	1600	2500	1500	1700	2000	2000	2000	1500	1900	2000	2000	1500	1800	2000	1500	1600	2000	2300	2000	2500	2000	2500	1300	1700	2500	2100	2000	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1113	1360	1160	1064	1193	951	1151	1172	1112	1162	695	1268	950	1243	1349	1073	1042	1066	1192	1486	1062	1061	1141	1355	1208	1431	1247	1823	844	1079	999	1281	1370	1442	1165	1065	947	1243	1520	1021	1066	1138	1265	1116	1247	1292	1386	1364	1183	1313	1170	1673	1119	1199	1373	1321	1392	1073	1222	1386	1261	1014	1190	1714	989	1094	1216	1283	1558	1638	1568	1797	814	1121	1450	1824	1716	1128	
16	51	39	33	44	28	19	61	24	14	18	26	27	13	12	12	19	11	13	27	17	42	23	18	20	29	37	24	21	12	19	25	19	45	23	31	43	20	26	30	28	21	19	25	24	46	17	32	19	26	17	24	16	32	31	19	43	31	23	21	38	6	26	5	23	28	40	23	6	27	13	20	16	21	24	3	2	4	
471	589	401	403	363	521	330	467	564	324	287	706	523	344	639	415	439	423	395	487	421	397	436	627	772	540	716	553	435	209	482	394	611	513	412	504	510	337	454	449	406	341	716	359	829	662	597	604	498	661	413	803	365	469	596	660	565	396	655	593	701	480	584	281	488	478	744	994	436	835	419	683	470	558	1026	273	282	368	
16	51	39	33	44	28	19	61	24	14	18	26	27	13	12	12	19	11	13	27	17	42	23	18	20	29	37	24	21	12	19	25	19	45	23	31	43	20	26	27	28	21	19	25	24	46	17	32	19	26	17	24	16	32	31	19	43	31	23	21	38	6	26	5	23	28	40	23	6	27	13	20	16	21	24	3	2	4	
1113	1359	1160	1064	1193	950	1151	1172	1102	1162	695	1267	950	1241	1349	1072	1041	1064	1190	1485	1060	1058	1140	1355	1208	1424	1246	1820	844	1078	999	1281	1367	1441	1164	1064	947	1243	1519	1021	1065	1138	1265	1115	1247	1291	1386	1364	1182	1311	1170	1673	1119	1199	1373	1319	1388	1073	1221	1386	1260	1014	1189	1714	989	1094	1213	1282	1544	1637	1567	1794	814	1121	1450	1821	1714	1128	
8	23	10	7	14	9	9	18	8	7	5	11	10	16	13	13	11	7	11	24	11	9	9	15	16	12	17	23	7	14	13	17	14	17	16	5	2	6	16	14	12	13	15	5	14	17	17	13	8	8	9	7	13	9	9	13	19	6	10	13	16	3	21	17	11	16	6	14	14	17	16	20	8	9	7	11	7	12	
1121	1387	1189	1090	1223	969	1161	1215	1118	1169	708	1282	967	1238	1348	1071	1049	1068	1192	1488	1066	1091	1154	1358	1212	1441	1266	1821	858	1076	1005	1289	1372	1469	1171	1090	988	1257	1529	1034	1081	1146	1269	1135	1257	1320	1386	1383	1193	1329	1178	1690	1122	1222	1395	1325	1412	1098	1234	1394	1282	1017	1194	1702	1001	1106	1247	1291	1536	1647	1564	1794	822	1133	1467	1813	1709	1120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	10	13	4	13	14	9	5	9	11	4	16	7	2	15	12	13	8	15	8	10	12	15	17	13	14	14	5	6	11	12	17	10	14	12	9	11	13	23	9	7	8	9	9	9	10	11	19	5	13	4	20	7	14	10	13	13	5	8	15	15	1	16	17	5	6	7	9	14	9	8	11	1	6	11	13	8	7	
94	111	100	102	101	91	100	94	84	108	58	110	90	141	110	98	99	103	112	154	92	99	118	132	101	157	129	185	72	98	84	113	110	143	97	83	101	116	132	101	102	101	132	100	111	115	138	120	124	122	117	170	115	113	127	121	116	99	122	119	121	73	98	185	80	89	114	130	170	160	180	191	78	107	162	210	177	127	
50	56	59	55	43	31	34	49	60	33	32	49	31	56	58	50	36	51	50	63	43	43	54	54	58	60	56	112	36	59	37	46	86	87	53	53	45	51	66	45	67	61	63	37	51	72	66	60	55	49	41	74	46	48	60	56	68	61	50	52	53	39	43	50	55	60	58	72	74	74	62	62	37	59	64	50	60	22	
877	1083	921	847	959	753	880	938	878	913	547	987	767	894	1052	796	818	798	912	1147	817	862	879	1053	914	1093	964	1432	685	845	797	1017	1066	1133	912	856	746	990	1194	792	812	909	965	888	976	1025	1069	1081	906	1032	912	1305	844	968	1093	1013	1112	842	945	1099	979	823	937	1241	796	875	963	972	1099	1268	1165	1353	663	893	1117	1297	1255	821	
42	45	40	34	43	28	56	44	44	45	30	44	27	64	46	37	39	45	53	51	45	30	41	47	53	55	47	36	26	21	28	43	43	39	45	41	35	33	40	38	30	32	47	38	49	38	47	47	48	50	30	68	54	32	46	56	41	37	48	49	58	40	54	120	35	30	50	59	92	76	58	88	11	37	58	128	114	79	
7	11	4	6	20	8	10	18	11	6	3	9	4	8	9	7	6	9	11	11	13	2	7	6	12	8	8	8	4	5	8	10	9	7	11	8	5	8	15	6	10	6	5	14	5	10	5	11	7	5	14	14	8	11	9	9	5	6	7	13	6	7	9	8	5	12	7	9	8	7	10	10	7	3	3	10	3	3	
13	17	18	20	15	11	21	25	9	20	12	26	17	23	22	20	15	18	14	26	18	14	16	18	24	17	21	19	7	14	13	13	17	14	9	15	11	18	22	18	21	13	14	13	23	14	10	14	13	23	22	19	18	4	21	19	12	15	14	17	14	7	17	29	6	11	16	16	38	21	33	29	7	15	14	45	39	29	
20	54	34	22	29	33	51	42	23	33	22	41	24	50	36	51	23	36	25	28	28	29	24	31	37	37	27	24	22	23	26	30	31	32	32	25	34	28	37	25	32	16	34	36	33	36	40	31	35	35	38	20	30	32	29	38	45	33	40	30	36	27	20	52	19	23	32	24	41	32	48	50	18	13	38	60	53	32	
