"УИК №53"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №264"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	
186	578	145	1458	1530	187	211	162	355	256	102	120	190	128	245	305	136	97	159	
213	568	146	1362	1418	190	233	155	403	286	104	124	183	129	238	285	142	111	154	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
92	276	57	786	797	138	141	94	230	140	64	69	105	77	118	137	71	62	72	
40	23	33	68	49	22	23	13	28	22	9	10	10	17	16	16	11	11	31	
81	269	56	508	572	30	69	48	145	124	31	45	68	35	104	132	60	38	51	
40	23	33	68	49	22	23	13	28	22	9	10	10	17	16	16	11	11	31	
92	276	57	782	797	138	141	94	230	140	64	69	105	77	118	137	71	62	72	
0	2	1	5	8	3	0	0	2	0	0	0	0	1	3	1	0	0	0	
132	297	89	845	838	157	164	107	256	162	73	79	115	93	131	152	82	73	103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	0	8	6	2	3	1	1	1	1	3	0	1	2	3	0	1	2	
24	30	20	177	188	13	21	16	43	35	14	7	19	16	13	11	13	12	15	
20	36	8	90	113	31	28	9	18	15	9	11	6	13	24	15	8	14	3	
80	220	52	548	506	109	107	78	189	110	45	57	89	63	88	120	60	45	83	
0	3	3	6	7	0	0	1	0	0	1	0	0	0	1	0	0	0	0	
1	2	4	7	6	1	3	0	1	0	1	1	0	0	3	1	1	0	0	
4	2	2	3	10	1	2	2	2	1	1	0	1	0	0	2	0	0	0	
1	1	0	6	2	0	0	0	2	0	1	0	0	0	0	0	0	1	0	
