"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	"УИК №1864"	"УИК №1865"	"УИК №1866"	"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1870"	"УИК №1871"	"УИК №1872"	"УИК №1873"	"УИК №1874"	"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1896"	"УИК №2022"	"УИК №2039"	
2201	1420	2088	2093	2554	2966	2468	2218	1840	2722	2630	2187	2385	2054	1968	2341	1545	1814	2496	2009	2172	2468	1595	2333	2643	2752	1005	2323	1986	2035	1681	1175	3295	2251	2159	2231	2067	2140	1932	1979	2133	2478	1716	2243	1416	2010	1503	2336	2322	1886	1844	2007	1485	1610	1977	1922	2031	1889	2076	2323	2395	1975	1460	2243	2693	2621	1603	2309	2395	2315	948	2183	2015	2000	2011	1514	1696	2421	1181	2959	2950	2933	348	
1900	1200	1900	1900	2300	2600	2300	1700	1700	2500	2400	2000	2100	1900	1800	2000	1400	1700	2200	2000	2000	2200	1300	2100	2300	2500	800	2100	2000	2000	1500	1100	3100	2100	2000	2000	2000	2000	1800	1800	2000	2300	1600	2100	1200	1800	1200	2200	2200	1800	1700	1750	1200	1400	1700	1800	1900	1800	1900	2200	2200	1800	1300	2000	2500	2400	1400	1900	2000	2100	800	2000	1900	1900	1800	1300	1500	2100	1200	2300	2700	2200	304	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1435	772	1113	1049	1346	1637	1392	1439	783	1314	1546	1191	1512	1190	1180	1351	962	1084	1423	1848	1370	1574	957	1464	1655	1510	596	1120	1144	1234	763	549	1912	1379	1117	1248	1243	1162	1031	896	1039	1114	807	1257	883	1107	873	1074	1056	924	1055	1172	772	972	1189	1283	1109	1094	1189	1327	1358	1235	818	1091	1401	1484	753	1214	1304	1206	625	1250	1141	1188	1243	954	899	1309	741	1635	1572	1730	152	
27	6	35	32	22	42	33	9	24	46	20	24	14	19	19	15	6	9	16	7	27	17	0	19	6	9	3	15	38	19	10	10	33	35	31	58	42	42	44	31	30	30	22	15	20	41	21	37	49	44	45	54	22	11	24	9	32	42	13	20	12	11	9	17	25	13	25	9	7	5	10	26	62	35	20	10	40	9	9	100	24	13	150	
438	422	752	819	932	921	875	252	893	1140	834	785	574	691	601	634	432	607	761	145	603	609	343	617	639	981	201	965	818	746	727	541	1155	686	852	694	715	796	725	873	931	1156	771	828	297	652	306	1089	1095	832	600	524	406	417	487	508	759	664	698	853	830	554	473	892	1074	903	622	677	689	889	165	726	697	677	537	336	561	782	450	565	1104	457	2	
27	6	35	32	22	42	33	9	24	46	20	24	14	19	19	15	6	9	16	7	27	17	0	19	6	9	3	15	38	19	10	10	33	35	31	58	42	42	44	31	30	30	22	15	20	41	21	37	49	44	45	54	22	11	24	9	32	42	13	20	12	11	9	17	25	13	25	9	7	5	10	26	62	35	20	10	40	9	9	100	24	13	150	
1435	772	1112	1049	1346	1637	1392	1439	783	1314	1546	1191	1512	1190	1180	1351	962	1083	1407	1848	1370	1574	957	1464	1655	1510	596	1120	1143	1234	763	549	1912	1378	1117	1248	1243	1162	1030	896	1038	1114	807	1255	882	1107	872	1074	1056	924	1055	1171	772	972	1188	1283	1109	1094	1189	1326	1358	1235	818	1091	1394	1484	753	1214	1304	1206	625	1250	1141	1188	1242	954	894	1308	741	1635	1572	1730	152	
18	4	16	9	9	16	19	14	6	10	8	13	11	15	8	14	18	12	16	18	10	13	9	14	10	12	7	20	13	11	6	6	42	10	14	15	12	11	9	6	9	12	8	4	11	15	6	20	13	13	10	12	12	12	8	18	6	7	18	18	12	23	9	3	14	16	9	14	15	16	7	14	7	19	8	6	7	18	6	18	17	29	2	
1444	774	1131	1072	1359	1663	1406	1434	801	1350	1558	1202	1515	1194	1191	1352	950	1080	1407	1837	1387	1578	948	1469	1651	1507	592	1115	1168	1242	767	553	1903	1403	1134	1291	1273	1193	1065	921	1059	1132	821	1266	891	1133	887	1091	1092	955	1090	1213	782	971	1204	1274	1135	1129	1184	1328	1358	1223	818	1105	1405	1481	769	1209	1296	1195	628	1262	1196	1204	1254	958	927	1299	744	1717	1579	1714	300	
