"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	
2316	1673	1627	1838	1991	2076	
2179	1575	1529	1718	1831	1926	
0	0	0	0	0	0	
1435	990	956	1089	1051	1255	
45	41	15	14	24	37	
699	544	558	615	756	634	
45	41	15	14	24	37	
1435	990	956	1089	1051	1255	
22	18	12	18	7	13	
1458	1013	959	1085	1068	1279	
0	0	0	0	0	0	
0	0	0	0	0	0	

13	8	4	14	9	9	
220	62	55	177	235	310	
96	42	59	98	86	79	
1070	860	825	763	698	853	
12	17	3	4	16	15	
24	11	4	9	11	7	
13	9	3	10	6	2	
10	4	6	10	7	4	
