"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	
1307	1640	1364	112	160	278	223	367	223	365	169	491	419	197	
1495	1865	1535	103	175	309	256	378	267	425	174	574	547	237	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
743	1029	646	54	87	168	148	212	92	170	114	207	199	103	
142	73	203	29	20	66	34	85	82	93	34	159	139	44	
610	763	686	20	68	75	74	81	93	162	26	208	209	90	
142	73	203	29	20	66	34	85	82	93	34	159	139	44	
743	1029	646	54	87	168	148	212	92	170	114	207	199	103	
5	16	11	1	1	0	1	1	2	3	1	8	0	0	
880	1086	838	82	106	234	181	296	172	260	147	358	338	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	5	5	0	1	0	1	2	1	4	3	1	7	0	
197	292	181	13	8	26	24	49	18	30	14	29	39	23	
96	85	89	6	6	11	13	27	20	26	19	39	29	7	
554	675	541	61	91	195	141	212	130	196	106	275	250	112	
15	9	4	0	0	0	1	3	3	2	2	4	5	0	
4	11	8	2	0	1	0	1	0	1	0	6	7	5	
4	7	9	0	0	0	0	2	0	0	2	2	0	0	
3	2	1	0	0	1	1	0	0	1	1	2	1	0	
