"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	
544	703	1359	2080	1829	1611	2176	1849	1842	1879	1881	1852	1731	1598	1872	1567	1299	1778	344	206	697	485	1923	126	1060	757	173	661	757	1069	959	200	1095	1047	1380	159	271	
520	630	1250	1750	1550	1400	1950	1600	1500	1600	1630	1700	1500	1350	1850	1400	1250	1550	340	195	660	450	1650	120	1000	750	166	620	720	1000	900	190	1000	1000	1300	150	271	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
469	517	1010	1454	1313	1098	1551	1399	1293	1325	1470	1351	1185	1059	1279	1178	1049	1306	299	183	601	369	1581	93	883	668	149	547	597	922	808	176	779	839	821	78	231	
7	9	23	44	31	49	79	18	57	149	41	228	56	86	32	61	55	56	14	6	30	14	30	4	50	19	9	25	18	42	31	11	21	41	81	5	40	
44	104	217	252	206	253	320	183	150	126	119	121	259	205	539	161	146	188	27	6	29	67	39	23	67	63	8	48	105	36	61	3	200	120	398	67	0	
7	9	23	44	31	49	79	18	57	149	41	228	56	86	32	61	55	56	14	6	30	14	30	4	50	19	9	25	18	42	31	11	21	41	81	5	40	
469	517	1010	1454	1312	1098	1551	1399	1293	1325	1470	1351	1185	1059	1279	1178	1049	1306	299	183	601	369	1581	93	883	668	149	547	597	922	808	176	779	839	821	78	231	
6	5	14	10	23	9	12	18	12	13	7	11	13	3	41	56	11	17	2	3	0	1	52	2	10	8	3	13	5	12	7	3	7	12	21	2	3	
470	521	1019	1488	1320	1138	1618	1399	1338	1461	1504	1568	1228	1142	1270	1183	1093	1345	311	186	631	382	1559	95	923	679	155	559	610	952	832	184	793	868	881	81	268	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	4	2	3	3	4	3	2	3	4	4	6	2	3	2	5	7	1	1	0	0	6	0	3	4	0	1	0	2	2	0	1	0	0	0	3	
33	17	32	31	27	39	39	39	41	29	57	28	27	26	28	34	23	51	12	3	13	4	35	3	17	8	3	11	17	21	24	1	22	13	20	4	5	
10	12	23	23	24	18	25	34	17	29	38	30	33	26	30	25	25	28	4	2	19	2	31	2	17	6	3	23	9	14	12	9	13	19	9	3	6	
398	478	938	1375	1236	1048	1498	1280	1227	1354	1351	1481	1131	1064	1165	1089	1020	1218	293	178	588	374	1435	87	862	649	145	489	571	906	772	168	745	810	802	65	241	
10	6	11	26	17	17	34	25	34	24	30	16	22	13	33	17	16	20	1	1	8	2	27	1	16	10	4	23	8	5	15	6	8	16	29	4	12	
1	2	2	11	1	2	4	0	3	9	3	5	1	2	1	3	0	4	0	0	1	0	5	1	4	0	0	2	1	0	0	0	3	2	3	1	0	
3	0	2	6	3	5	1	11	7	5	9	2	3	3	2	3	2	4	0	1	2	0	7	1	0	1	0	6	2	4	1	0	0	1	3	0	1	
9	5	7	14	9	6	13	7	7	8	12	2	5	6	8	10	2	13	0	0	0	0	13	0	4	1	0	4	2	0	6	0	1	7	15	4	0	
