"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	
948	272	639	252	148	1058	298	1876	872	748	331	623	913	669	1661	1024	839	312	351	
900	250	650	250	150	1050	300	1900	850	750	350	650	1050	700	1700	1050	800	300	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
646	250	449	204	123	725	185	853	534	533	262	410	515	359	952	479	454	209	245	
19	0	37	9	6	119	50	315	87	40	26	60	84	66	113	111	102	37	36	
235	0	164	37	21	206	65	732	229	177	62	180	451	275	635	460	244	54	69	
19	0	37	9	6	119	50	315	87	40	26	60	84	66	113	111	102	37	36	
646	250	449	204	123	725	185	853	534	533	262	410	515	359	952	479	454	209	245	
77	0	3	6	0	6	1	0	5	6	2	6	12	4	14	11	43	3	5	
588	250	483	207	129	838	234	1168	616	567	286	464	587	421	1051	579	513	243	276	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	2	0	0	3	0	5	2	2	1	1	5	1	8	2	7	3	0	
64	48	78	39	22	101	14	183	20	52	11	36	83	26	189	127	15	29	67	
4	0	24	4	3	22	12	36	4	37	19	36	52	23	66	33	32	21	14	
492	200	375	151	100	697	204	923	575	467	252	387	433	362	765	397	453	185	191	
13	0	3	4	2	8	4	5	7	6	1	0	3	4	9	7	1	2	2	
5	0	1	2	1	5	0	11	2	1	0	2	4	2	4	7	3	2	1	
2	0	0	7	0	1	0	4	3	1	1	2	6	1	4	4	2	0	1	
3	0	0	0	1	1	0	1	3	1	1	0	1	2	6	2	0	1	0	
