"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	
416	198	368	162	479	174	875	427	130	551	231	611	927	412	81	430	300	490	341	590	778	788	784	603	995	702	784	574	569	
400	200	350	170	450	180	800	400	130	500	240	600	850	400	90	400	300	450	350	600	750	750	750	550	1000	700	750	540	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
224	92	214	160	247	82	476	298	80	328	91	357	642	220	40	160	98	232	137	323	446	473	441	347	533	466	477	352	286	
11	28	35	1	47	33	51	27	13	28	18	34	65	24	8	67	52	49	35	43	13	22	18	16	30	22	37	11	33	
165	80	101	9	156	65	273	75	37	144	131	209	143	156	42	173	150	169	178	234	291	255	291	187	437	212	236	177	181	
11	28	35	1	47	33	51	27	13	28	18	34	65	24	8	67	52	49	35	43	13	22	18	16	30	22	37	11	33	
224	92	214	160	247	82	476	298	80	328	91	357	642	220	40	160	98	232	137	323	446	473	441	347	533	466	477	352	286	
0	0	5	15	3	0	6	0	0	0	1	5	32	2	0	1	1	2	1	3	5	7	6	3	7	4	4	0	2	
235	120	244	146	291	115	521	325	93	356	108	386	675	242	48	226	149	279	171	363	454	488	453	360	556	484	510	363	317	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	4	0	0	0	1	1	0	1	1	2	3	0	3	1	3	0	3	6	2	3	1	4	2	1	2	0	
28	6	47	7	20	20	40	44	7	38	13	57	43	12	4	38	31	21	17	77	96	67	64	48	108	60	89	61	33	
16	5	37	16	20	7	27	14	14	26	7	19	49	44	3	7	23	26	8	15	33	28	32	25	40	28	50	21	31	
188	108	157	109	245	85	444	263	69	287	86	302	561	182	40	176	91	224	142	259	308	387	345	276	391	383	349	271	243	
1	1	1	5	3	2	7	3	1	1	1	3	4	0	1	1	1	4	1	6	5	2	3	4	4	6	12	4	5	
0	0	0	0	0	1	1	0	1	4	0	2	8	0	0	1	1	1	2	2	2	0	5	3	3	1	2	2	2	
0	0	0	1	2	0	2	0	0	0	0	2	2	1	0	0	0	0	1	1	3	0	1	2	4	2	4	0	1	
1	0	1	4	1	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	1	2	0	1	2	2	3	2	2	
