"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	
1736	719	227	230	1135	1149	1014	462	615	418	249	133	310	245	536	62	465	238	1411	1364	1331	2455	534	208	489	743	264	146	67	229	48	
1689	699	221	224	1104	1117	986	449	598	406	242	129	301	238	521	60	452	231	1372	1327	1294	2388	519	202	475	722	257	142	65	223	47	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1662	669	199	209	1068	1090	952	421	583	379	216	104	252	218	482	51	426	215	1294	1299	1241	2313	477	190	446	699	247	132	57	206	40	
14	18	9	8	15	18	28	20	11	19	11	9	31	10	17	2	12	5	63	20	43	59	23	2	20	12	2	0	0	0	0	
13	12	13	7	21	9	6	8	4	8	15	16	18	10	22	7	14	11	15	8	10	16	19	10	9	11	8	10	8	17	7	
14	18	9	8	15	18	28	20	11	19	11	9	31	10	17	2	12	5	63	20	43	59	23	2	20	12	2	0	0	0	0	
1662	669	199	209	1068	1090	952	421	583	379	216	104	252	218	482	51	426	215	1294	1299	1241	2313	477	190	446	699	247	132	57	206	40	
3	1	0	2	3	5	2	2	1	3	2	4	2	1	1	1	2	2	5	1	2	4	3	2	2	1	3	1	0	1	1	
1673	686	208	215	1080	1103	978	439	593	395	225	109	281	227	498	52	436	218	1352	1318	1282	2368	497	190	464	710	246	131	57	205	39	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	3	5	7	21	2	6	4	2	8	2	3	7	6	5	2	1	5	11	4	11	16	7	5	4	5	1	7	2	3	8	
33	17	10	25	19	27	14	11	15	11	12	8	19	32	12	5	30	7	36	25	40	56	9	11	30	25	26	4	9	14	11	
2	4	5	0	2	4	1	6	4	2	1	3	4	5	1	0	4	3	5	2	1	2	1	1	3	2	1	1	0	1	3	
1624	655	178	176	1025	1063	952	412	568	365	203	86	236	179	471	38	396	198	1298	1283	1223	2289	479	167	423	671	211	114	43	180	10	
2	3	1	0	5	2	0	1	2	3	1	4	3	2	2	1	2	1	0	1	1	1	0	1	2	3	5	2	1	4	2	
0	1	3	2	1	1	1	0	0	0	1	0	1	0	2	2	0	1	0	1	2	2	0	2	0	2	0	0	0	1	3	
3	2	4	5	3	3	2	5	1	3	1	1	5	2	3	1	2	0	2	1	2	2	1	2	1	2	2	2	1	2	1	
0	1	2	0	4	1	2	0	1	3	4	4	6	1	2	3	1	3	0	1	2	0	0	1	1	0	0	1	1	0	1	
