"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1766"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №1771"	
178	647	520	139	372	1504	842	1659	67	510	115	568	291	575	894	570	393	169	301	
152	468	382	117	281	1114	610	1220	50	373	88	410	207	428	638	410	292	159	285	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
144	315	299	93	232	868	399	918	45	295	68	309	150	301	457	319	222	97	217	
0	89	57	17	42	82	46	59	0	34	6	51	30	61	89	62	22	8	20	
8	64	26	7	7	164	165	243	5	44	14	50	27	66	92	29	48	54	48	
0	89	57	17	42	82	46	59	0	34	6	51	30	61	89	62	22	8	20	
144	315	299	93	232	868	399	918	45	295	68	309	150	301	457	319	222	97	217	
1	3	4	1	6	9	7	14	2	9	2	4	2	5	5	4	4	0	0	
143	401	352	109	268	941	438	963	43	320	72	356	178	357	541	377	240	105	237	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	6	2	6	7	4	6	1	4	1	3	3	4	4	3	0	0	0	
16	54	84	22	78	238	94	221	5	74	7	93	34	43	131	58	55	16	37	
3	22	37	19	41	74	42	84	2	24	16	36	11	36	61	49	19	18	21	
118	309	218	65	138	603	292	628	35	213	47	219	127	271	336	256	159	67	178	
0	2	1	0	2	5	3	9	0	3	1	0	1	2	3	4	0	1	0	
2	9	2	1	1	9	1	7	0	2	0	3	1	0	1	4	5	2	1	
0	1	3	0	2	3	1	7	0	0	0	1	0	1	2	1	1	0	0	
1	1	1	0	0	2	1	1	0	0	0	1	1	0	3	2	1	1	0	
