"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	
1175	865	458	1555	
1050	799	458	1555	
0	0	0	0	
787	349	311	1253	
100	102	125	0	
163	348	22	302	
100	102	125	0	
787	349	311	1253	
16	0	0	0	
871	451	436	1253	
0	0	0	0	
0	0	0	0	

2	5	16	99	
97	59	86	176	
7	4	17	45	
692	323	286	858	
25	32	17	42	
0	3	2	15	
6	5	6	13	
42	20	6	5	
