"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	
1101	650	2182	1345	1583	1537	2621	1293	1739	412	636	527	726	225	788	320	579	336	155	512	328	283	552	577	
1100	600	2200	1300	1600	1500	2600	1300	1700	350	600	500	700	200	800	300	550	300	150	500	300	250	500	550	
0	0	0	0	0	0	0	0	0	18	42	70	118	0	0	27	73	98	60	57	45	12	72	16	
542	318	1245	788	845	831	1353	636	972	237	328	284	377	142	389	148	261	150	57	308	183	181	306	297	
39	21	45	57	49	72	27	40	35	34	28	34	51	15	85	30	46	23	5	10	8	22	25	48	
519	261	910	455	706	597	1220	624	693	61	202	112	154	43	326	95	170	29	28	125	64	35	97	189	
39	21	45	57	49	72	27	40	35	52	70	104	169	15	85	57	119	121	65	67	53	34	97	64	
542	318	1245	788	845	831	1353	636	971	237	328	284	377	142	389	148	261	150	57	308	183	181	306	297	
1	3	13	8	9	10	9	3	11	2	2	6	3	3	3	0	3	2	0	3	2	2	4	4	
580	336	1277	837	885	893	1371	673	995	287	396	382	543	154	471	205	377	269	122	372	234	213	399	357	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	6	7	9	6	9	1	6	1	2	1	0	1	1	0	3	0	0	0	1	0	1	1	
53	28	135	95	90	108	166	80	120	15	32	26	46	5	31	13	27	14	19	45	18	8	25	41	
51	22	111	45	76	72	150	71	93	25	33	45	65	18	76	18	31	24	7	43	21	13	37	42	
466	279	994	667	685	683	1024	507	754	244	324	295	424	123	355	170	309	228	96	281	185	190	335	269	
2	1	12	7	12	8	8	6	11	1	3	3	1	3	4	2	1	2	0	1	0	0	0	0	
3	2	7	5	3	3	6	1	3	0	1	5	5	4	1	1	3	0	0	1	3	1	1	4	
2	1	4	4	4	7	3	5	5	1	1	4	1	0	3	1	3	0	0	1	3	1	0	0	
1	0	8	7	6	6	5	2	3	0	0	3	1	0	0	0	0	1	0	0	3	0	0	0	
