"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	
902	460	959	210	431	750	862	782	744	859	731	159	522	547	723	813	809	687	258	662	1683	1384	1285	577	
920	450	920	210	440	760	830	800	740	900	740	150	520	550	710	800	820	670	240	660	1750	1420	1309	580	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
787	412	689	148	303	615	650	642	622	453	582	126	224	316	548	613	484	537	189	402	1242	843	869	481	
42	33	53	18	70	62	21	32	15	58	35	13	14	25	34	27	39	29	13	7	54	26	58	31	
91	5	178	44	67	83	159	126	103	389	123	11	282	209	128	160	297	104	38	251	454	551	382	68	
42	33	53	18	70	62	21	32	15	58	35	13	14	25	34	27	39	29	13	7	54	26	58	31	
787	412	689	148	303	615	650	642	622	453	582	126	224	316	548	613	484	537	189	402	1242	843	869	481	
8	0	4	0	2	3	9	1	7	15	6	0	0	0	2	9	8	10	2	1	17	15	12	1	
821	445	738	166	371	674	662	673	630	496	611	139	238	341	580	631	515	556	200	408	1279	854	915	511	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	1	3	3	1	3	0	4	5	2	0	2	2	1	3	4	2	0	1	5	2	4	3	
47	10	54	30	20	24	112	63	45	30	52	13	16	30	48	69	49	13	11	40	127	118	103	18	
70	12	31	7	20	24	45	20	39	27	21	8	19	19	24	23	28	14	9	21	36	37	40	16	
685	420	639	118	303	619	492	582	530	427	526	117	196	282	496	530	429	517	179	336	1085	677	755	458	
5	1	6	1	8	1	5	2	2	1	5	0	4	1	2	1	2	3	0	0	9	7	1	8	
9	0	5	3	7	1	0	5	8	4	2	1	0	5	3	4	2	3	1	1	7	4	4	1	
2	0	1	2	6	3	4	0	2	1	2	0	1	2	3	0	1	1	0	0	5	7	4	1	
0	0	1	2	4	1	1	1	0	1	1	0	0	0	3	1	0	3	0	9	5	2	4	6	
